Start,Stop
0,8.35
9.3667,11.05
13.55,17.65
20.8,24.067
24.583,26.35
27.683,30.433
31.217,33.3
35.233,37.783
38.317,41.367
44.083,45.733
46.567,47.45
49.8,51.9
52.817,54.583
55.167,55.517
56.733,58.567
61.283,64.75
65.483,67.3
68.633,70.85
71.583,73.05
73.583,74.55
75.517,77.517
78.5,80.417
81.333,84.25
85.317,88.433
88.983,91.033
92.067,95.467
96.65,98.217
99.083,101.62
102.6,104.62
105.37,107.18
109.37,112.52
113.05,114.52
115.52,117.4
118.6,123.82
126.7,133.2
133.92,135.67
138.33,141.78
142.33,145.68
147.43,150.57
151.05,152.27
155,157.58
158.33,159.12
159.98,161.42
165.3,169.23
169.82,170.15
171.38,173.5
174.3,175.28
177.67,179.88
181.93,183.82
186.2,188.67
190.62,194
194.85,194.88
195.42,197.1
198.25,200.85
203.5,205.7
210.08,212.8
213.65,219.4
220.4,221.95
223.55,225.6
226.8,227.93
229.38,229.97
230.5,233.05
234.62,235.78
237.08,239.08
241.43,242.67
245.57,251.17
252.85,254.92
257.08,259.47
260.07,260.62
261.33,263.87
264.97,267.38
269.65,271.42
273.03,273.87
275.62,276.57
277.77,283.65
286.65,288.75
289.98,291.93
293.35,294.48
295.72,295.75
296.43,297.32
298.95,301.48
304.95,308.63
311.25,312.32
312.87,312.97
314.75,316.02
