Stop,Start
2.6,6.45
10.317,10.9
12.817,17.083
21.083,21.95
24.167,27.817
38.55,39.317
39.5,42.7
48.733,53.133
63.1,66.65
74.967,75.533
80.483,85.6
93.333,94.15
94.183,97.35
101.17,101.7
102.25,103.35
110.9,111.47
114.08,114.6
114.63,115.18
115.22,119.12
121.8,122.42
125.85,130.53
133.28,134.15
141.73,146.43
151.57,152.72
152.75,153.38
155.23,156.02
160.75,161.33
166.77,167.73
167.77,171.15
177,177.6
181.22,184.85
191.22,192.17
199.4,203.45
211.73,216.02
226.95,228.32
228.35,231.68
240.12,243.85
246.52,247
256.97,257.83
260.02,263.97
270.62,271.13
273.43,274.72
277.37,281.6
287.85,292.37
297.37,300.38
300.42,301
