Stop,Start
3.9831,9.3495
10.449,20.316
21.366,25.815
30.782,36.948
40.381,41.065
43.331,46.214
52.664,53.481
53.847,56.88
59.98,61.063
62.03,62.997
63.097,66.763
68.396,69.48
69.913,77.213
80.112,80.796
82.812,84.279
86.879,87.895
89.579,92.628
97.945,98.628
101.43,104.54
106.34,107.11
116.79,119.88
126.31,129.81
132.51,132.99
137.33,138.83
139.13,139.76
143.94,144.61
146.76,147.56
156.21,157.19
159.86,161.59
162.27,162.92
164.56,169.62
175.51,177.01
181.39,183.29
187.47,192.82
196.57,199.19
202.37,203.26
206.27,206.76
213.61,218.12
225.27,225.89
230.24,233.44
236.34,238.72
243.34,244.37
244.4,248.37
251.27,251.84
252.29,259.47
261.09,262.05
264.72,265.52
269.2,270.09
272.9,273.64
273.94,275.75
278.19,279.72
283.02,285.82
290.03,295.47
302.82,303.62
