FACTORS,RES_VAR,F,P
None,0.02734258810588482,NaN,NaN
h_neg10_0,0.023250997133476003,6.511069831115394,0.014985204455465381
d_h_1_4,0.022664668314754877,0.9313102305679545,0.3409610819970884
d_v_1_4,0.02265366395583222,0.01700177786003614,0.8970037490880381
d_v_7_10,0.022607080015637084,0.07006008584651925,0.7928473635330306
d_h_7_10,0.022603774038062394,0.004826506395834882,0.94503235987712
