T1,T2
6.2167,6.8833
8.35,8.9667
11.767,12.3
16.183,16.8
20.933,22.033
24.133,24.917
29.45,30.667
45.6,46.533
50.267,51.967
57.783,58.933
63.2,64.2
68.433,70.283
70.933,71.483
73.933,74.433
77.033,78.167
82.4,83.217
87.567,91.15
96.933,97.5
99.383,99.967
102.75,103.45
104.83,107.3
113.62,114.48
118.7,119.3
123.17,124.33
129.1,131.18
134.02,134.57
137.17,137.8
140.55,141.32
144.68,146.23
153.8,154.33
156.22,158.67
167.23,168.18
172.08,172.87
176.77,177.55
179.97,180.8
184.27,184.88
188.32,189.17
191.92,192.82
199.6,200.38
203.75,205.92
205.95,206.7
213.23,213.73
216.45,217.38
222.48,223.02
224.25,224.87
226.22,228.7
236.45,237.1
238.5,240.15
240.18,241.45
249.47,250
253.15,254.2
258.37,259.12
262.92,263.42
270.23,271.1
275.38,276.38
285.25,286.05
288.7,290.07
290.87,291.72
295,295.72
295.75,296.62
