T1,T2
0.15,0.93333
2.8833,7.5667
10.617,11.533
13.5,20.183
23.95,24.617
27.65,28.2
28.883,29.517
31,36.2
38.867,39.583
39.917,41.133
42.767,48.167
52.517,58.367
61.217,69.35
71.117,71.75
72.683,73.267
73.8,74.467
75.733,82.1
82.517,83.05
85.417,88.65
92.333,94.083
94.117,97.383
101.2,104.67
104.7,111.22
115.33,122.2
123.97,131.72
135.18,142.18
144.45,159.02
161.47,163.77
163.8,165.68
165.72,168.05
168.53,169.08
169.87,172.13
172.17,179.97
180.45,184.03
184.07,186.83
189.4,194.7
194.77,199.3
201.15,202.87
203.25,204.3
204.33,205.87
206.33,209.22
209.25,237.47
237.5,238.58
241,242.12
242.15,292.75
293.12,299.38
