,TIME,MOTION,FORVEL,ANGVEL,ABSANGVEL,HEADING,ABSHEADING,G2,G3,G4,G5,G2_FROM_MOTION,G2_FROM_FORVEL,G2_FROM_ANGVEL,G2_FROM_ABSANGVEL,G2_FROM_HEADING,G2_FROM_ABSHEADING,G3_FROM_MOTION,G3_FROM_FORVEL,G3_FROM_ANGVEL,G3_FROM_ABSANGVEL,G3_FROM_HEADING,G3_FROM_ABSHEADING,G4_FROM_MOTION,G4_FROM_FORVEL,G4_FROM_ANGVEL,G4_FROM_ABSANGVEL,G4_FROM_HEADING,G4_FROM_ABSHEADING,G5_FROM_MOTION,G5_FROM_FORVEL,G5_FROM_ANGVEL,G5_FROM_ABSANGVEL,G5_FROM_HEADING,G5_FROM_ABSHEADING
0.0,0.0,-2.1734449401270743,-1.5714230107171159,-0.21066926493101093,-0.3794765330574017,-1.0546344977051052,0.3740221390220791,-1.8218197029628704,0.7389401488316973,1.4988568032371854,1.0581208778891844,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0.1,-0.1900148424607013,-1.2730337651683876,-1.4192335090550512,1.319486875264408,-1.2687615510957395,0.7895278468052573,-1.3226537302711818,1.028244002214844,1.1317559256840368,0.7648664564723671,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,-0.7751622294038545,-1.5776169936281839,-0.9250173650507624,0.6247326257095854,-1.5150029039413762,1.2673501769568793,-0.8234877575794837,1.317547855597997,0.7646550481308882,0.47161203505554977,,,,,,,,,,,,,,,,,,,,,,,,
0.3,0.3,0.14917277979849547,-0.23099918610220582,-1.1373608463590026,0.9232387303642416,-1.4134992666883137,1.0703860849770597,-0.7145010938866833,1.6458714733979858,0.5124921426277804,0.42808023933965283,,,,,,,,,,,,,,,,,,,,,,,,
0.4,0.4,-1.1160318596089083,-0.7446218197021677,-0.7740206301834389,0.41246593938080894,-1.2862726807036926,0.8235075527164107,-0.60590500007277,1.9742341500212799,0.260444290149728,0.384798416222061,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.5,-0.9112619599032497,0.13119512327537827,-0.02420965084969586,-0.6415958725912022,-1.240350678906681,0.7343975894616587,-0.5788469007515603,1.3748052811239078,0.20302713449541648,0.3329285222315481,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.6,-0.7174628397150978,0.2262569953644271,-0.09304834444881656,-0.5448244993934532,-1.204621936243357,0.665067272374426,-0.5520341514639351,0.7725846623402536,0.14619562787867565,0.28103278650320823,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.7,0.2883529375599888,1.0600266203176778,-0.17688966078783055,-0.4269628885952948,-1.1712364751479665,0.6002840073808082,-0.35641055434426866,0.49215827966327746,-0.014060093507951657,0.4845107187977425,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.8,-0.8696837041927673,-0.2984040007443449,-0.13064887412744025,-0.49196680120480546,-1.1341130242893385,0.5282473101017016,-0.16010900201243458,0.21302424331605585,-0.17473117318682696,0.6890142481526154,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.9,-0.9132424168190736,-1.601947657169097,0.9736659840459608,-0.07562676248201934,-1.1508006059770488,0.5606289514242123,0.09000391603390154,0.26295039081445754,-0.08223884193324127,0.551678846928718,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,-0.03147951740803534,-1.809844790806028,1.5912565529058555,0.7925635574939878,-1.2618668538965734,0.7761489393093236,0.3404416511771081,0.3148628170885881,0.011781638682107982,0.41228003163696486,,,,,,,,,,,,,,,,,,,,,,,,
1.1,1.1,-1.1267025618269322,-0.48321831808168053,0.6919925367363656,-0.4715948563599875,-1.3423528336340311,0.9323290363493069,0.2634977414164207,0.2988060790257125,0.12206664950315169,0.4239483060425632,,,,,,,,,,,,,,,,,,,,,,,,
1.2,1.2,-0.4267401456822078,-1.3317638885746512,0.8357269019402136,-0.2695373917386546,-1.3644010924943955,0.9751128754677089,0.18424600535731853,0.28227020284565346,0.2324663146156707,0.43668150454472443,,,,,,,,,,,,,,,,,,,,,,,,
1.3,1.3,0.7627382513239386,-0.25439178562612225,1.4387939416384716,0.5782361860366103,-1.4823429183604375,1.203974670638957,0.1813748086527779,0.3223698740452787,0.10993216702609598,0.3124228388252582,,,,,,,,,,,,,,,,,,,,,,,,
1.4,1.4,-0.8805296329103544,-0.5756402900102735,0.2797056712855718,-1.051175380554864,-1.5154706972192034,1.2682579126863072,0.1791195840398045,0.3629262835302225,-0.014480479053017352,0.18705940000722704,,,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,0.47258411968254616,0.6473991685976405,1.405901672501209,0.5319972194673275,-1.597509350541881,1.4274509159740876,0.2059557055997947,0.41901257037428175,-0.16508014758387365,0.270146232286912,,,,,,,,,,,,,,,,,,,,,,,,
1.6,1.6,-0.7351867662321835,0.17385057767380777,0.2649860441753705,-1.0481385169567041,-1.6443627793416706,1.5183682792276227,0.23308567914134298,0.47525572466640825,-0.31594433149303713,0.3553386228605385,,,,,,,,,,,,,,,,,,,,,,,,
1.7,1.7,0.5622617870099438,1.1925703301112116,-0.1583194507748632,-0.4530683335067071,-1.627493184750216,1.4856334485289986,0.29498798576900764,0.4029751514107382,-0.22640175684564742,0.3221521423313949,,,,,,,,,,,,,,,,,,,,,,,,
1.8,1.8,-0.2776702430956152,0.5356199395229437,0.047766546163867864,-0.7427778540959071,-1.60715714468552,1.4461721072982219,0.357277042309653,0.32926509281327715,-0.13418529509600768,0.28764901106197893,,,,,,,,,,,,,,,,,,,,,,,,
1.9,1.9,-0.5819417811249545,0.3565412828130785,0.40793664672045904,-0.8709121168214663,-1.6082362504552656,1.4482660725376961,0.14213469661766967,0.2532352947433705,-0.01803201019309028,0.20855375661080092,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,-0.8171466624904856,-0.5940386934626805,0.7593491529002093,-0.37690694322079765,-1.6315064752933757,1.493421091898998,-0.07666176075518892,0.1771749428607486,0.09843655201579952,0.12887116923019692,,,,,,,,,,,,,,,,,,,,,,,,
2.1,2.1,0.4545576736133705,0.6776827660137594,1.2770150801170868,0.3508123090676138,-1.7039332088659878,1.6339625168099903,-0.2632277710783502,-0.0015814064408992557,0.13045175741294576,-0.014433035443031627,,,,,,,,,,,,,,,,,,,,,,,,
2.2,2.2,0.5608617101096566,1.1100359234411141,0.8768771120581542,-0.21168965912944815,0.5735252927476533,-0.5400365548295524,-0.4493361482791048,-0.18179591392091607,0.16126782792635916,-0.1586405896518646,,,,,,,,,,,,,,,,,,,,,,,,
2.3,2.3,0.4519550703512551,1.1004635450612443,0.6859186190432995,-0.4801333878909754,1.6986383946848538,1.6432042284062545,-0.49785722076606975,-0.24862349570319775,0.2957993767693821,0.2814140193441642,,,,,,,,,,,,,,,,,,,,,,,,
2.4,2.4,-0.22488270955321693,0.34983431609781984,0.3770180918889552,-0.9143764949480834,1.675972373661628,1.5992216444274676,-0.5442830551101892,-0.31372437303322864,0.4319103491403058,0.7303660216884926,,,,,,,,,,,,,,,,,,,,,,,,
2.5,2.5,-0.09699081075811766,0.5967678355352238,0.34073056372063604,-0.965388414948336,1.6735543053409192,1.5945294713780804,-0.48850124739484885,-0.40887133340895404,0.47167381605934694,0.7182397718894525,,,,,,,,,,,,,,,,,,,,,,,,
2.6,2.6,-0.9339552797024233,-0.045988914724949564,0.3037605920905765,-1.0173596935225184,1.671389068327637,1.5903279082244466,-0.4309518609256729,-0.5045379106837407,0.5097710494151992,0.698139635735948,,,,,,,,,,,,,,,,,,,,,,,,
2.7,2.7,-0.17820385983808418,0.19082261306548778,0.08701158037438711,-0.7979473474895628,1.6666720335555876,1.58117467494279,-0.3511050548099184,-0.25905390127321165,0.47033241827848093,0.2760575799889395,,,,,,,,,,,,,,,,,,,,,,,,
2.8,2.8,-0.2527807758088355,0.043931690248183074,0.0703379152915256,-0.774508008624357,1.6728450733468097,1.5931532326589244,-0.2708495383544118,-0.0073166224529705726,0.429472559483075,-0.15339277978319918,,,,,,,,,,,,,,,,,,,,,,,,
