Start,Stop
2.0333,3.5667
4.1167,6.85
7.8833,8.1
8.6,11.067
11.633,12.533
13.167,13.55
15.583,20.45
20.95,22.717
23.683,23.717
24.517,29.133
30.267,37.433
38.083,41.133
42.217,42.833
45.033,47.767
48.25,51.5
52.117,52.633
53.817,55.883
57,58.967
60.067,61.683
62.417,64.1
65.267,69.7
70.867,72.633
73.217,75.817
76.483,79.8
80.383,86.283
87.083,88.083
89,90.167
91.517,93.117
93.667,94.25
96.85,96.883
98.55,99.4
102.45,103.97
105.15,108.85
110.53,112.08
113.45,143.02
143.75,153.97
154.45,155.43
155.93,179.77
180.73,184.18
184.68,188.23
189.63,207.48
208.98,211.43
212,212.77
213.4,217.08
217.63,225.43
226.47,230.13
230.78,244.05
244.53,265.83
266.42,269.28
269.88,269.92
270.52,281.03
282.27,283.32
284.18,285.82
286.48,289.18
289.95,300
