T1,T2
2.6833,3.95
7.0333,17.817
21.1,24.667
26.967,28.283
31.317,36.017
38.483,58.85
64.95,71.083
75.233,91.033
92,95.417
98.233,100.27
101.52,110.07
110.62,113.03
113.8,117.6
119.32,123.23
123.78,127.35
128.07,130.53
132.88,149.43
150.93,156.52
158.77,169.12
169.83,172.53
174.83,180.5
181.13,184.72
186.17,192.15
193.07,202.13
203.38,217.68
219.08,224.47
224.95,228.63
229.9,233.77
234.55,238.67
239.42,242.67
243.68,250.55
251.3,258.03
260.23,274.27
274.95,276.72
277.27,282.98
284.67,288.33
288.85,293.37
294.2,296.85
297.72,299.88
