0,722.93,1251.8,1231.4,814.03,733.14,1884.6,1599.4,937.75
0.1,725.28,1262.5,1238.6,814.14,772.18,1861.9,1629.3,958.37
0.2,727.63,1273.3,1245.8,814.25,811.22,1839.3,1659.2,978.98
0.3,737.34,1291.8,1246.3,805.87,845.48,1908.4,1614.1,958.36
0.4,747.05,1310.3,1246.8,797.48,879.75,1977.4,1569,937.73
0.5,725.05,1286.1,1244.8,818.78,875.28,1890.7,1513.6,944.03
0.6,703.04,1261.9,1242.8,840.09,870.81,1803.9,1458.2,950.34
0.7,726.37,1252.9,1252.5,830.06,851.02,1732.9,1505.2,953.22
0.8,749.74,1244,1262.2,820,831.21,1661.8,1552.4,956.1
0.9,737.49,1262.7,1254.3,817.18,803.04,1603.4,1625.9,957.12
1,725.21,1281.5,1246.4,814.37,774.86,1545.1,1699.5,958.13
1.1,726.94,1257.9,1250.9,819.68,797.83,1530.6,1749.9,956.91
1.2,728.69,1234.3,1255.5,824.99,820.85,1516.1,1800.3,955.68
1.3,721.14,1251.5,1241,814.94,818.16,1573.6,1787.2,950.3
1.4,713.58,1268.8,1226.4,804.86,815.45,1631.2,1774,944.92
1.5,714.89,1263.6,1240.8,811.26,831.24,1597.1,1759.7,947.34
1.6,716.21,1258.4,1255.1,817.67,847.05,1562.9,1745.4,949.77
1.7,723.52,1263.5,1243.1,818.44,856.24,1587.4,1722.9,926.1
1.8,730.84,1268.7,1231.1,819.19,865.42,1611.9,1700.4,902.37
1.9,735.2,1268.5,1241.6,829.81,903.69,1667.8,1787.1,887.96
2,739.56,1268.2,1252.1,840.45,942.02,1723.8,1874.1,873.56
2.1,720.77,1266,1258.8,823.59,949,1753.1,1819.5,853.65
2.2,701.94,1263.8,1265.5,806.68,955.91,1782.4,1764.7,833.73
2.3,717.18,1275.3,1250.2,802.38,955.2,1771.4,1774.7,823.04
2.4,732.5,1286.9,1235,798.11,954.48,1760.3,1784.8,812.38
2.5,727.33,1286.9,1234,802.09,979.34,1841,1819.5,825.26
2.6,722.09,1286.8,1233.1,806.09,1004.3,1922.1,1854.3,838.22
2.7,728.03,1281.1,1240.4,806.69,1047.3,1948.7,1849.6,840.3
2.8,734,1275.3,1247.7,807.28,1090.4,1975.2,1844.9,842.34
2.9,729.52,1280.6,1247.1,807.68,1069.1,1921.7,1832.7,832.44
3,725.02,1286,1246.5,808.07,1047.6,1868.1,1820.4,822.5
3.1,732.26,1303.5,1244.7,802.53,1017.8,1817.3,1871.6,828.82
3.2,739.54,1321.1,1242.8,796.97,987.96,1766.6,1922.9,835.2
3.3,748.37,1308.2,1247.8,801.37,964.48,1758.5,1974,843.78
3.4,757.21,1295.1,1252.8,805.79,941.02,1750.6,2025.2,852.37
3.5,740.55,1287.9,1243.1,811.76,977.08,1807.7,2016.8,840.47
3.6,723.78,1280.7,1233.4,817.74,1013.4,1865.1,2008.1,828.48
3.7,721.22,1264.2,1239.2,814.42,1010.2,1860.6,1961.3,822.37
3.8,718.73,1247.7,1245,811.06,1006.9,1855.8,1914.3,816.29
3.9,714.62,1278.9,1250.1,809.7,995.59,1789.9,1851.3,810.91
4,710.51,1310.3,1255.1,808.35,984.26,1723.7,1788.1,805.54
4.1,724.16,1277.8,1248.1,800.7,953.48,1641.4,1753.1,790.55
4.2,737.89,1245.1,1241,793.03,922.62,1559.1,1718.2,775.53
4.3,734.51,1259.6,1235.5,790.65,939.25,1542,1690.8,788.84
4.4,731.06,1274.4,1229.9,788.29,956.07,1525.2,1663.4,802.26
4.5,738.16,1273,1238.9,801.98,986.63,1498.2,1636.5,845.52
4.6,745.32,1271.6,1247.9,815.74,1017.3,1471.3,1609.7,888.94
4.7,739.54,1276.1,1255.5,820.97,980.53,1435.3,1649.4,874.05
4.8,733.7,1280.5,1263.2,826.16,943.46,1399.4,1689.4,858.87
4.9,737.71,1271.4,1259.3,820.52,938.2,1403.2,1670.1,859.22
5,741.77,1262.1,1255.4,814.83,933.09,1407.2,1650.5,859.66
