Start,Stop
3.5332,3.5665
4.7331,5.1665
7.1497,7.5664
8.7497,8.783
9.3663,9.5996
11.85,12.766
14.483,15.549
17.449,19.149
19.716,20.849
23.166,23.199
25.166,25.232
27.649,28.749
29.566,29.765
30.532,34.449
35.282,35.349
37.882,37.915
38.748,38.782
39.932,40.548
43.032,45.448
46.532,53.081
54.515,54.548
57.231,57.264
58.064,58.098
58.948,58.981
88.747,90.23
103.7,103.73
106.33,106.36
107.88,107.91
109.36,110
111.2,111.23
113.61,113.93
114.41,117.28
120.93,121.53
122.13,128.64
129.26,131.74
133.89,134.09
134.69,136.28
137.11,138.06
140.89,141.04
141.59,141.63
144.68,157.54
160.54,160.58
168.26,175.41
176.18,177.03
186.01,187.29
193.48,195.79
196.28,202.03
202.79,202.83
211.41,211.56
212.14,217.69
218.19,229.76
230.51,236.09
238.02,238.06
238.67,240.01
242.76,242.79
244.24,253.21
253.71,253.79
257.42,259.96
260.59,263.17
270.89,271.07
272.22,273.31
274.27,275.72
