Stop,Start
2.9167,3.4833
4.8833,6.9333
6.9667,8.15
9.6167,10.25
13.167,14.25
14.6,16.383
22.733,25.583
28.1,29.983
32.617,33.1
33.3,33.817
34.3,35.467
35.567,39.633
39.933,41.017
42.417,45.133
48.117,49.133
49.483,51.65
53.533,54.183
58.983,59.883
84.533,85.017
85.7,86.283
87.55,88.683
98.917,99.417
132.58,133.35
134.28,134.92
152.73,153.7
154.3,155.55
157.12,157.82
160.22,163.77
179.47,182.62
183.27,186.52
191.87,192.35
195.12,195.93
197.35,198.2
201.5,202.33
202.37,203.48
205.4,206.17
206.63,207.42
209.43,211.35
211.77,212.53
212.9,213.97
252.07,253.05
267.8,268.95
271.48,272.18
272.98,274.65
279.57,280.45
280.48,281.58
295.03,295.52
298.32,299
299.67,300.17
