Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,Heading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red,G3_Red,G4_Red,G5_Red,G2_Green,G3_Green,G4_Green,G5_Green,G2_avg,G3_avg,G4_avg,G5_avg
0,0.0597304681073606,-0.0638942331200862,0.0286464678990292,0.0285218608561826,0.016076091064337,0.0491686189980363,1.81432796229631,0.00226886522915446,0.0028404349318123,0.00315636816378786,0.00492364518530207,762.7899,941.6392,1066.6906,940.5792,840.7207,1681.5901,1747.7418,838.0905,1.10216548488647,1.7858114870324,1.63847117430303,0.891036608081489
0.1,0.219043790993745,-0.0948164539717712,0.0349985199098289,0.0151590241119163,-0.00366390251793106,0.0493034462248338,2.98762466184365,0.0242096948345181,0.0203461487435109,0.0130294800797548,0.0394107807048853,760.581367065868,962.850227944112,1069.59778562874,941.51293253493,861.471149101796,1670.71330359281,1745.07498363273,833.056018962076,1.13273737104408,1.73627037340959,1.63154339694433,0.884811908183538
0.2,0.44177847485969,-0.0772749389506101,0.0299955717356707,-0.0289884769041289,-0.00819214873115614,0.0483145632542432,1.66815101144787,0.0818865832548645,0.0405924297994285,0.0170152749383548,0.121090457121269,758.372834131737,984.061255888224,1072.50497125749,942.44666506986,882.221598203593,1659.83650718563,1742.40816726547,828.021537924152,1.16330925720169,1.68672925978678,1.62461561958563,0.878587208285587
0.3,0.580971959965167,0.0352708163486504,0.0208779002123042,-0.0679700457289995,-0.0252622757254012,0.0792216540115953,-2.21703920682337,0.15223868092326,0.0131791180870024,0.00419031131734218,0.232721524781711,759.041021556886,984.339286227545,1077.11236467066,954.463233532934,902.790689820359,1689.82498443114,1711.95111197605,828.729811976048,1.18935986153282,1.71670389354236,1.58954086562616,0.86839740221717
0.4,0.666321551478479,0.214472539937548,0.0284966827523463,-0.0623508039862449,-0.0168043649825516,0.0832841843228055,-2.46739190650208,0.217625092972486,-0.0871610020076148,-0.0308290642861526,0.389646640652945,759.720762075848,984.533248303393,1081.72658622754,966.524311377246,923.359053093812,1719.97757924152,1681.3824493014,829.461149301397,1.21539230810562,1.74699786764886,1.55435307160002,0.858191672027587
0.5,0.722970429821739,0.439795946286858,0.0415979244720462,-0.0383323696092468,-0.0208373969703335,0.0673711610730396,-2.21497787066448,0.283250332253299,-0.218850177824834,-0.0729365377001531,0.568309271361668,760.670184031936,959.08529740519,1084.94943373253,962.821251896208,918.025623153693,1689.80721836327,1674.87691477046,819.546059481038,1.20687525952277,1.76230234670719,1.54376817062059,0.851164362460251
0.6,0.799402445058589,0.696534561990164,0.0384699983335293,-0.0375470333353885,-0.00637393315544723,0.060671290907225,-1.94756670383394,0.361698875885813,-0.341333870775992,-0.115879353450231,0.737388333921618,761.621780838323,933.430556886228,1088.16106047904,958.991062275449,912.483307784431,1659.15038203593,1668.56543772455,809.545111377246,1.19807958597898,1.77748594274095,1.53338168006895,0.844162685317289
0.7,0.79886090743989,0.904198874829629,0.030653920036533,-0.0263667213928849,-0.0189129681985521,0.0512907473461577,-1.79216958208123,0.442642764166987,-0.446249714246394,-0.146828098899166,0.884260872956977,758.155775249501,945.301624151697,1085.72555728543,956.437483033932,933.400263473054,1638.86912335329,1630.52560279441,802.700685229541,1.23130295558401,1.73427459092565,1.50171038361636,0.839247982926097
0.8,0.725403194021254,1.08986003254791,0.0267423518250472,-0.0385869556363,-0.010649692903742,0.0530907749518129,-1.56881132902668,0.512463224999919,-0.52812526477757,-0.178920748600099,1.00247618476121,754.636114570858,957.628470459082,1083.22146546906,953.899409181637,954.638586826347,1618.71388383234,1592.10040319361,795.89459740519,1.26503667793983,1.69035398873162,1.46978056725404,0.834358628406384
0.9,0.639904611343898,1.31285012518643,0.0420455814915266,-0.0227562941604926,-0.012050364304999,0.0563421775270286,-1.39177196679854,0.574186516609716,-0.601495162576717,-0.206258372510521,1.10378716550462,753.595407185629,962.375030538922,1078.75379281437,944.451976047904,946.240244311377,1608.83619041916,1585.95025628742,786.25661257485,1.25562082322825,1.67182253851105,1.47017272282482,0.832481792990013
1,0.519436986766771,1.50422585146954,0.030563997863651,-0.0093930468929707,-0.0119972140251805,0.0439270636408014,-1.28693491642128,0.638325713779968,-0.652053946156582,-0.228847977207309,1.19141142899738,752.595007984032,966.998333932136,1074.25419201597,934.892195608782,937.360004790419,1599.12561157685,1580.32490698603,776.572580638723,1.24550334937736,1.65370392002988,1.47109043891484,0.830653941624104
1.1,0.388970328748841,1.69888938679223,0.0439988393629809,-0.00167859161411523,-0.0106720982838891,0.0493451066617004,-1.27782713802826,0.694469304055895,-0.668197820297951,-0.248703699093784,1.25551907946048,753.438906187625,964.824672255489,1081.47199740519,946.009877245509,945.938044710579,1580.93118642715,1551.62955568862,788.837761277445,1.25548182708966,1.63853202018791,1.43499353841814,0.833817871571258
1.2,0.275203979675032,1.92937406567446,0.0395786041551341,0.00107148309422577,0.000736193175882567,0.0466653951434906,-1.26076658345215,0.752833998960556,-0.654696086120895,-0.264793984525548,1.30469425086103,754.320443113772,962.512297005988,1088.92893353293,957.549547904192,954.872376047904,1562.56362155689,1522.46338802395,801.55088502994,1.26587042626242,1.62342025746103,1.39814123758293,0.837083674606434
