T1,T2
3.9167,4.2
6.35,6.6667
16.383,16.783
17.533,17.817
30.25,30.683
31.783,32.083
41.1,41.317
54.083,54.45
59.233,59.583
73.133,73.567
74.15,74.633
83.983,84.417
100.52,100.97
102.63,103.08
105.23,105.65
108.78,109.13
113.47,113.87
115.37,115.75
119.6,119.93
121.52,122
128,128.27
131.35,131.82
140.07,140.48
145.03,145.37
146.6,146.98
147.53,147.87
150.7,151
152.72,152.97
157.23,157.45
160.82,161.25
166.38,166.57
170.02,170.37
173.92,174.33
175.28,175.52
178.17,178.55
184.52,184.75
186.62,186.93
189.95,190.27
199.13,199.3
200.63,200.85
201.58,201.98
204.12,204.5
207.95,208.37
221.73,222.2
231.65,232.08
241.53,242.02
251.32,251.8
255.2,255.5
256.93,257.4
269.07,269.52
273.72,274
285.08,285.47
288.75,289.12
290.47,290.82
291.83,292.27
293.35,293.77
298.58,298.98
