T1,T2
0,7.2167
7.9833,12.467
18.95,27.417
34.75,44.183
50.933,57.117
63.067,82.217
92.117,109.3
117.33,122.33
132.68,140.68
141.52,162.55
168.97,178.1
178.85,184.25
189.87,200.23
200.83,209.82
215.4,220.87
221.68,230.87
237.77,261.25
267.47,284.57
291.07,299.87
