0,1.3556,1.5818,1.0616,0.93874
0.1,1.3601,1.6098,1.079,0.94784
0.2,1.3646,1.6379,1.0965,0.95693
0.3,1.3743,1.6384,1.121,0.97555
0.4,1.384,1.6388,1.1455,0.99418
0.5,1.3848,1.6436,1.1917,0.99236
0.6,1.3856,1.6485,1.2379,0.99045
0.7,1.3595,1.6233,1.2489,0.98201
0.8,1.3332,1.598,1.2597,0.97353
0.9,1.3318,1.5913,1.2586,0.98254
1,1.3305,1.5848,1.2574,0.99169
1.1,1.3159,1.559,1.2473,0.99537
1.2,1.3011,1.533,1.237,0.99899
1.3,1.3022,1.5293,1.2226,0.97743
1.4,1.3036,1.5258,1.2081,0.95557
1.5,1.2958,1.5305,1.2094,0.9605
1.6,1.2879,1.5353,1.2109,0.9658
1.7,1.3165,1.5484,1.1908,0.95127
1.8,1.3456,1.5616,1.1702,0.93642
1.9,1.3203,1.5346,1.1844,0.93014
2,1.294,1.5069,1.1992,0.92403
2.1,1.2916,1.4949,1.1721,0.93391
2.2,1.2897,1.4833,1.1441,0.94413
2.3,1.2544,1.4914,1.121,0.92729
2.4,1.2184,1.4999,1.0981,0.90981
2.5,1.2333,1.4815,1.1035,0.8992
2.6,1.2496,1.4623,1.1097,0.88877
2.7,1.2031,1.4672,1.1055,0.8833
2.8,1.1548,1.4728,1.1011,0.87798
2.9,1.1812,1.4943,1.0831,0.85292
3,1.2098,1.5163,1.0647,0.82727
3.1,1.2146,1.5186,1.063,0.85052
3.2,1.2186,1.5203,1.0617,0.87533
3.3,1.2475,1.496,1.0808,0.86616
3.4,1.2772,1.4708,1.1005,0.85584
3.5,1.2535,1.5022,1.1181,0.84554
3.6,1.2278,1.5356,1.1356,0.83524
3.7,1.2153,1.5291,1.1727,0.86637
3.8,1.2033,1.5209,1.2106,0.89914
3.9,1.1881,1.496,1.2086,0.88822
4,1.1727,1.4703,1.2049,0.87548
4.1,1.183,1.4691,1.1741,0.88412
4.2,1.1944,1.4689,1.1422,0.89371
4.3,1.2118,1.4831,1.1232,0.87823
4.4,1.2294,1.4979,1.1048,0.8616
4.5,1.2382,1.527,1.1029,0.85207
4.6,1.2466,1.5568,1.1017,0.84287
4.7,1.2316,1.5328,1.079,0.8568
4.8,1.2154,1.5061,1.0553,0.87189
4.9,1.2341,1.4907,1.0757,0.87105
5,1.2547,1.4759,1.0985,0.86937
5.1,1.301,1.4674,1.1056,0.85421
5.2,1.3489,1.4592,1.1119,0.83832
5.3,1.3175,1.4737,1.0949,0.83919
5.4,1.2816,1.4895,1.0767,0.841
5.5,1.2726,1.4715,1.088,0.82705
5.6,1.2652,1.4515,1.1011,0.81214
5.7,1.2696,1.436,1.0926,0.79905
5.8,1.2747,1.4208,1.0828,0.78608
5.9,1.2833,1.4373,1.0778,0.81237
6,1.2921,1.4559,1.0731,0.84122
6.1,1.2779,1.4553,1.0643,0.83724
6.2,1.2622,1.4535,1.0553,0.83105
6.3,1.2457,1.4427,1.0824,0.8418
6.4,1.2292,1.4314,1.112,0.85372
6.5,1.1884,1.4002,1.1185,0.87228
6.6,1.146,1.3676,1.1233,0.8913
6.7,1.1506,1.3804,1.1046,0.87242
6.8,1.1588,1.3966,1.0841,0.85073
6.9,1.1702,1.3909,1.1031,0.85036
7,1.1818,1.3835,1.1251,0.85163
7.1,1.2204,1.4035,1.1177,0.8518
7.2,1.2612,1.4256,1.108,0.85189
7.3,1.2815,1.4375,1.0876,0.86292
7.4,1.3001,1.4485,1.0664,0.87485
7.5,1.2699,1.445,1.0406,0.87028
7.6,1.2357,1.4403,1.0145,0.86433
7.7,1.1871,1.4151,1.0793,0.88509
7.8,1.1373,1.3882,1.1521,0.90817
