Stop,Start
6.3333,8.1
11.333,15.4
17.833,18.4
20.6,21.817
23.883,26.517
27.25,29.633
32.633,37.183
40.183,41
42.717,44.133
46.783,47.917
48.95,50.933
52.45,52.983
53.367,54.2
55.167,55.967
59.633,60.183
64.067,64.733
67.367,68.317
72.3,73.533
77.333,78.117
82.733,83.55
88.967,90.1
92.15,95.717
97.617,98.35
100.65,101.35
103.05,106.5
106.53,107.6
111.25,111.75
112.65,113.13
117.13,117.62
121.45,122.72
123.25,123.95
125.58,126.2
127.6,128.37
130.17,131.42
136.33,137.03
138.1,138.85
140.02,141.65
142.53,143.25
145.72,146.53
147.63,148.55
149.42,150.25
151,153.18
154.92,156.5
159.55,161.18
166.8,168.43
169.37,170.23
171.35,171.92
174.35,174.92
176.13,177.07
178.9,179.5
183.97,184.55
185.1,186.87
193.4,194.38
195.43,196.15
197.13,199.17
200.13,200.87
204.38,208.92
210.62,213.03
215.15,218.52
220.22,222.25
223.38,225.38
228.43,229.65
232.25,233.6
235.43,236.28
236.58,237.57
238.72,240.97
244.13,249
251.82,256.18
257.73,260.53
263.2,266.27
268.02,271.3
271.87,272.6
274.78,275.65
276.18,277.32
279.72,280.63
281.37,283.37
285.02,286.75
289.28,290.28
292.33,293.05
293.23,294.47
295.97,296.75
301.35,303.92
306.63,309.65
312.98,313.8
