Stop,Start
3.2,6.3833
39.333,39.85
50.95,51.433
51.583,52.217
55.933,57.017
69.383,69.983
80.783,82.6
84.383,85.283
88.417,88.9
98.25,100.33
108.93,110.57
116.18,116.87
118.35,120.23
130.6,131.55
140.22,140.8
142.28,142.83
144.27,145.63
151.08,151.67
158.45,159.13
161.08,163.13
163.17,164.33
164.37,165.32
169.12,169.88
175.45,176.33
191.62,193.32
228.45,229.02
243.38,244.18
245.57,246.72
250.58,251.23
254.48,255.1
259.73,260.22
260.78,261.32
266.5,268.03
269.25,270.2
272.82,273.62
296.98,297.47
