Stop,Start
4.3167,5.0167
22.783,23.4
38.333,38.983
40.733,41.75
48.617,49.383
50.267,50.767
56.717,57.733
58.817,59.967
60.967,61.767
69.867,70.617
86.6,87.283
92.183,92.733
108.4,109.2
117.18,118
122.8,123.43
129.23,129.92
132.2,132.95
150.62,151.45
156.28,156.92
159.48,160.13
161.17,161.92
170.57,171.37
183.03,183.95
202.93,203.73
212.83,213.47
218.35,219.12
229.7,230.55
236.98,238
239.72,240.57
243.85,244.43
253.37,254.05
255.2,256.07
265.62,266.38
270.48,271.13
273.2,274.42
278.23,278.78
282.25,282.88
285.32,286.17
292.82,293.65
299.2,300.25
