Stop,Start
1.0167,1.7167
2.3,6.3833
13.283,18.783
28.483,31.333
37.617,40.383
41.25,49.617
51.717,53.267
53.917,54.533
56.4,60.5
65.733,68.217
71.917,73.467
74.667,75.383
81.283,85.083
86.033,87.9
88.067,91.367
92.867,94.3
94.833,96.217
103.13,105.3
112.3,113.5
113.65,115.25
115.58,116.7
120.98,121.65
125.18,132.93
133.47,136.08
136.12,139.82
148.2,154.23
154.8,158.17
158.2,159.37
160.27,167.08
169.5,170.35
170.38,171.62
172.13,173.62
174.6,175.45
175.48,180.43
184.37,190.67
191.47,192.5
192.75,193.23
193.88,198.55
199.37,200.2
201.15,202.25
202.78,208.33
210.92,212
212.03,212.92
212.95,220.42
220.72,225.22
227.03,227.85
229.92,230.62
233.08,237.2
240.17,247.05
249.05,261.92
264.13,265.73
265.77,266.25
266.28,267.55
267.8,269.77
272.58,273.6
274.73,278.23
278.27,296.08
298.4,302.5
302.87,304.15
