T1,T2
5.2667,5.8333
10.283,11.083
12.417,13.85
14.117,14.65
17.983,18.483
25.083,26.367
27.05,28.983
30.733,34.517
48.883,49.717
50.217,50.983
53.4,54.533
56.833,57.367
66.183,66.683
67.35,69.083
75.9,77.1
81.133,83.1
84.483,85.233
85.683,86.35
89.317,90.083
90.133,90.633
102.43,103.53
110.1,110.67
114.22,114.9
114.93,115.58
115.98,117.62
119.25,119.85
120.75,121.4
122.45,123.05
124.73,125.37
130.75,131.33
140.4,141.53
144.32,145.12
145.93,146.53
148.22,148.75
150.95,151.57
151.6,152.52
156.67,157.8
161.88,162.53
166.58,167.17
168.42,169.8
170.32,170.88
179.83,180.43
180.88,181.47
183.5,184.28
186.4,186.97
187.35,187.88
195.12,195.63
196.27,196.98
205.77,206.43
209.67,210.38
210.42,210.92
217.68,218.35
218.7,219.42
220.17,220.68
229.93,230.87
236.68,237.95
247.03,248.08
248.78,249.28
255.57,256.15
260.65,261.15
261.75,262.58
268.42,269.15
276.77,277.47
280.97,282.23
286.12,286.73
289.17,290.1
299.95,300.55
