BEHAV,DAN,20180124.Fly4.3,20180124.Fly4.2,20180119.Fly10.1,20180531.Fly3.3,20180131.Fly7.3,20180131.Fly7.2,20180604.Fly8.3,20180604.Fly8.2,20180125.Fly3.3,20180125.Fly3.4,20180131.Fly9.3,20170826.Fly7.2,20170821.Fly1.1,20180604.Fly3.2,20180604.Fly3.3,20180604.Fly3.4,20180604.Fly3.1,20180530.Fly3.1,20180119.Fly7.2,20180530.Fly1.2,20180530.Fly1.1,20180530.Fly1.3,20180120.Fly1.2,20180120.Fly1.1,20180120.Fly1.3,20170826.Fly4.1,20180131.Fly1.3,20180131.Fly1.2,20180125.Fly6.1,20180131.Fly8.3,20180131.Fly8.4,20180131.Fly8.2,20180131.Fly8.1,20180119.Fly9.2,20180530.Fly5.5,20180530.Fly5.4,20180530.Fly5.2,20180530.Fly5.1,20180530.Fly5.3,20180531.Fly2.5,20170828.Fly4.3,20180201.Fly3.2,20180201.Fly3.4,20170822.Fly1.1,20170828.Fly2.2,20170828.Fly2.6,20180131.Fly4.2,20180131.Fly4.3
Motion,G2,-0.31339071187408063,-0.3090976165311621,0.09647908156594609,-0.6079492839781981,-0.291528955713666,-0.21856037718882737,-3.1202153162747406,NaN,-0.11558826079935258,-0.35535440737977697,-0.01928646823046898,-0.2771392187052264,-3.406566529721859,-0.324019962797617,-0.15584497391779228,-0.13730960278786752,-0.2797234518628482,NaN,NaN,-0.9170749669911091,-0.3675730897870637,NaN,-0.28699837579058873,-0.2019939274342537,-0.654543246987243,-0.23484148960288254,NaN,-0.26568174376901554,-0.17151805889170846,-0.6011697580042872,0.033766753681967354,-0.33589677005615104,-0.29276327024866067,NaN,-0.21198349579019404,-0.24441478734837307,-0.19704749155980594,-0.24889493998128986,-0.11737681638345521,NaN,-0.08778166502215856,-0.0767423831374281,-0.6497676324418229,-0.11274951806758304,-0.10464857871773248,NaN,-0.11504246338973556,-0.15397885587681492
Motion,G3,-0.3295415609164718,-0.24862852165707672,0.1588443639555399,-0.8623524126225479,-0.3009987895155495,-0.1582398286006299,-4.0195763104720115,NaN,-0.06234524683720455,-0.31178242928501976,-0.07139287633115665,-0.2547141860666666,-3.619219710622829,-0.2660105236149639,-0.29310327512730505,-0.16411775169647314,-0.22435719066072068,NaN,NaN,-0.9139085183469284,-0.1847240771885954,NaN,-0.22673178639094083,-0.21346929526631042,-0.6964268620279082,-0.09794067839005294,NaN,-0.3516285290766179,-0.14573171423876174,-0.7680924507165139,0.17877245122118068,-0.29730687200588424,-0.10044548294360811,NaN,-0.25921728453258863,-0.2948973110991471,-0.11368183343619509,-0.3258344887769171,-0.11704763493892045,NaN,-0.297434796460212,-0.05187965523722382,-1.0477924835867864,-0.09454533444677327,-0.15877962117218836,NaN,-0.18525712965384167,-0.07934959025858235
Motion,G4,-0.15234476970939248,-0.38162646561168234,0.050510561297032575,-0.8097611531874207,-0.1627306547510461,-0.1457691722432004,-3.357791732870826,NaN,-0.2008474241418141,-0.37850430099025867,-0.03856849011771124,-0.17777983788534768,-3.7250798845277355,-0.09927187966950779,-0.3456523345875888,-0.19850214639112163,-0.17610182533783236,NaN,NaN,-0.7710796347339237,-0.15458717012647005,NaN,-0.28608572870244364,-0.21815350215402907,-0.848460915268965,-0.07342196034425386,NaN,-0.3346940827488616,-0.1723429052322163,-0.8604967861219197,-0.2142095503506698,-0.37926246948796516,-0.24374183441366726,NaN,-0.07611210869760154,-0.1620714395829539,-0.2568235902873981,-0.27066179956750047,-0.10210551076622254,NaN,-0.0536820698359699,-0.1660950480301211,-0.5033439851529695,-0.11612854644297577,-0.05783088186850183,NaN,-0.06339887560848334,-0.2126219162961538
Motion,G5,-0.5828554240509713,-0.28411595509968923,0.18816093833613323,-0.8503316693198208,-0.35582609138885757,-0.2157619047529693,-3.7634955883788237,NaN,0.09438658596209426,-0.3896526340798374,-0.0647445817706429,-0.3294439073177964,-5.062392185076004,-0.1154296977552478,-0.3191413472392002,-0.03199111703632318,-0.19592665373822205,NaN,NaN,-0.7377416678590991,-0.2386569205036928,NaN,-0.2954931254322728,-0.26095881235534746,-1.2938698447935342,0.33700477449837696,NaN,-0.23979339314533488,-0.09523905335019389,-0.8358717562264542,-0.022293612352934256,-0.4133937031766324,-0.0031192981377827778,NaN,-0.010600316279355315,-0.19634373796146876,-0.2205098263947658,-0.08275570898291362,-0.1507572944498794,NaN,-0.0805804688631655,-0.06171588257954719,-0.9879550654245794,-0.01145122650979391,-0.056371673383778687,NaN,0.05517570891122536,0.04969076707493769
ForVel,G2,-0.5524397565546564,-0.03573770535916698,-0.06993324788121202,-0.6395084021230846,-0.0869380466088645,0.05900357426760661,-2.134969934780225,NaN,0.07847064681539773,-0.0005854355677079592,0.37705154477779423,-0.24565824303927397,-3.198317531693574,-0.01598131770685507,-0.20286962451283053,0.027496499027935717,-0.06168909994963112,NaN,NaN,-0.40630291807588126,-0.38180747039599416,NaN,-0.3803368896358177,-0.12193143222633851,-0.27152241691217127,0.25012062326271467,NaN,0.003067360754204884,0.10771565058142718,0.12361390390352034,0.12762654018580155,0.22976424483517421,-0.15246860307436583,NaN,-0.04276771950043767,-0.1305488661869496,-0.002908819554644948,-0.07467597794361747,-0.032566062306430554,NaN,0.05422936647905374,0.08866692740813242,-0.5616804033779457,-0.10492671095070838,-0.01719840242707238,NaN,-0.01418704061726217,0.09045659557916508
ForVel,G3,-0.3189462957240754,-0.13929330771958637,-0.16594537386052832,-0.7154489304611669,0.09823901359708043,-0.15421858168888547,-2.6030436344958923,NaN,-0.18554323609184675,-0.031221375216660352,-0.052918013569157596,-0.25666661279117164,-1.9804639121108276,-0.18390837988605724,-0.36378210100445263,-0.0770783703930149,-0.33583168809608166,NaN,NaN,-0.8504411125070348,-0.3118292055349745,NaN,-0.15299963594225008,-0.0943948154401717,-0.342137991236098,0.07613086009569414,NaN,-0.3979508551795732,-0.07058242763980371,-0.5366431261774987,0.18764105624213012,-0.22397141808030674,-0.20718843431284895,NaN,-0.19722526323446576,-0.2211039048125225,-0.1331843634925245,0.08163071586231085,-0.059059122657306506,NaN,-0.23236953628496404,-0.012266210970148794,-0.9551213563677712,-0.03169496490162649,0.13160809265703421,NaN,-0.13016512436276217,0.05581145891766415
ForVel,G4,-0.17590891590544255,-0.09979568638990277,0.2225963376133182,-0.28686939224423247,0.07856487188551942,-0.07382821344335522,-1.754349437743194,NaN,-0.0072305232063158975,-0.17003590540317437,0.4195852889064905,-0.03589668934275658,-4.704708636346129,-0.08775054969579044,0.04244968140252714,-0.010806123732472805,-0.16816348549137006,NaN,NaN,-0.4072854469887963,-0.251975700356609,NaN,-0.30338112627347535,0.01873249075789063,-0.5805827967239681,0.2169562700023986,NaN,-0.07732247335869946,-0.07615929618739004,-0.46333748503557937,-0.033845107027222765,0.08694202948764895,-0.21412255169087469,NaN,0.018979254188407735,-0.04957248313750662,0.01472603058490296,-0.013255625270933491,0.10550691931419354,NaN,-0.1907207701169491,-0.09111152339509743,-0.648821768619499,0.10843442694695493,0.1260801379055122,NaN,-0.1102068051887719,-0.08420229191926554
ForVel,G5,-0.48803024268602435,-0.1783843921201449,0.061582394452817435,-0.922750156579728,-0.022630024474796784,0.019279526514193845,-4.653153979064987,NaN,0.043083032932801135,0.0741231502057591,0.23481457152810936,-0.289125483590138,-4.305337911719873,-0.2806202961967339,-0.31196508590906635,0.03190873347133527,-0.1956650650908638,NaN,NaN,-0.577458372754686,-0.3757190601456435,NaN,-0.26597027879862334,0.04968278367428047,-1.339489323140055,0.4743819959408214,NaN,-0.15236542399256536,0.19435473065845588,-0.5104112662721043,-0.14237304280851992,-0.13768589424551014,-0.037453847799587825,NaN,0.09619692247608691,-0.10921049825716111,-0.053251496379744356,0.08816293481343085,0.024193657324251383,NaN,-0.023226570745897623,0.047850640482175355,-0.6885864726805939,0.28195579119166325,0.2417031134140838,NaN,0.05121827135514312,0.1441281325799002
AngVel,G2,-0.5962298387517395,-0.34547107075676475,-0.20371097043918907,-0.8061583964972328,-0.1963091278229565,-0.28116912966978114,-3.9344985619276285,NaN,-0.16640822394165067,-0.3160786966086282,-0.055191061279360465,-0.15666065509199023,-3.3452678459952283,-0.5273225680165738,-0.3130931890198789,-0.18978633180831084,-0.39511036151911894,NaN,NaN,-0.9195985961941631,-0.2602957379574711,NaN,-0.27875744266658,-0.2297988571060754,-0.8366382055700192,-0.0692870569185946,NaN,-0.1637532407873532,-0.22364999734522772,-1.123536600123464,-0.06942121304374993,-0.4054688800484654,-0.29259225562155944,NaN,-0.215443725391103,-0.24957654833433707,-0.18359121848034232,-0.19883350498299235,-0.15114535209669122,NaN,-0.21805075066689383,-0.26478822413762915,-0.9364867297339339,-0.07543167050689914,-0.01844164302145801,NaN,-0.1747173528918129,-0.18128749594505522
AngVel,G3,-0.41280316903354075,-0.34389654619517196,-0.16516687668652752,-0.8425720116259814,-0.2731453923012146,-0.2408239462357309,-4.53544904108635,NaN,-0.18355293539202,-0.29464394095456736,-0.16353590039388632,-0.09657263096723523,-2.990674302644025,-0.49516594782884304,-0.4105994528451178,-0.23989091712422916,-0.2743129795565453,NaN,NaN,-0.8972708183910478,-0.4211603207294754,NaN,0.27210775238761653,-0.20743937970618176,-1.0394150455285485,-0.26705367119333356,NaN,-0.15588108920325672,-0.2249527507670166,-1.0141082792395948,-0.1296387872387028,-0.3920643567349782,-0.2977770093609784,NaN,-0.15383987089211604,0.056299065365401746,-0.24979405802905386,-0.326452990191747,-0.1371471252636396,NaN,-0.25949172615033,-0.2367576149739561,-0.8789032618839712,-0.03648573925723331,-0.02427870386353792,NaN,-0.2717409917196656,-0.3265239423196946
