,TIME,MOTION,FORVEL,ANGVEL,ABSANGVEL,G2,G3,G4,G5,G2_FROM_MOTION,G2_FROM_FORVEL,G2_FROM_ANGVEL,G2_FROM_ABSANGVEL,G3_FROM_MOTION,G3_FROM_FORVEL,G3_FROM_ANGVEL,G3_FROM_ABSANGVEL,G4_FROM_MOTION,G4_FROM_FORVEL,G4_FROM_ANGVEL,G4_FROM_ABSANGVEL,G5_FROM_MOTION,G5_FROM_FORVEL,G5_FROM_ANGVEL,G5_FROM_ABSANGVEL
0.0,0.0,-2.173444940127073,-1.5714230107171185,-0.21066926493101124,-0.3794765330573996,-1.8218197029628718,0.7389401488317066,1.498856803237183,1.058120877889162,,,,,,,,,,,,,,,,
0.1,0.1,-0.19001484246070083,-1.273033765168393,-1.4192335090550527,1.3194868752644064,-1.3226537302711823,1.0282440022148511,1.1317559256840346,0.7648664564723445,,,,,,,,,,,,,,,,
0.2,0.2,-0.7751622294038538,-1.5776169936281867,-0.9250173650507634,0.6247326257095853,-0.8234877575794852,1.3175478555980047,0.7646550481308864,0.471612035055527,,,,,,,,,,,,,,,,
0.3,0.3,0.14917277979849577,-0.230999186102208,-1.137360846359004,0.923238730364241,-0.7145010938866856,1.6458714733979916,0.5124921426277788,0.4280802393396301,,,,,,,,,,,,,,,,
0.4,0.4,-1.1160318596089074,-0.7446218197021697,-0.7740206301834398,0.41246593938080933,-0.6059050000727724,1.9742341500212872,0.2604442901497265,0.3847984162220382,,,,,,,,,,,,,,,,
0.5,0.5,-0.911261959903249,0.131195123275376,-0.0242096508496934,-0.6415958725912032,-0.5788469007515619,1.3748052811239155,0.20302713449541504,0.3329285222315253,,,,,,,,,,,,,,,,
0.6,0.6,-0.7174628397150972,0.22625699536442478,-0.09304834444881639,-0.5448244993934515,-0.5520341514639358,0.7725846623402627,0.14619562787867488,0.2810327865031854,,,,,,,,,,,,,,,,
0.7,0.7,0.2883529375599891,1.0600266203176754,-0.17688966078783083,-0.42696288859529263,-0.35641055434427027,0.4921582796632869,-0.014060093507953637,0.48451071879771973,,,,,,,,,,,,,,,,
0.8,0.8,-0.8696837041927666,-0.2984040007443471,-0.13064887412744047,-0.49196680120480313,-0.16010900201243625,0.2130242433160646,-0.17473117318682818,0.6890142481525927,,,,,,,,,,,,,,,,
0.9,0.9,-0.9132424168190728,-1.6019476571690994,0.9736659840459616,-0.07562676248201793,0.09000391603389983,0.2629503908144671,-0.08223884193324255,0.5516788469286971,,,,,,,,,,,,,,,,
1.0,1.0,-0.03147951740803494,-1.8098447908060258,1.5912565529058567,0.7925635574939873,0.3404416511771055,0.3148628170885976,0.01178163868210665,0.4122800316369403,,,,,,,,,,,,,,,,
1.1,1.1,-1.1267025618269313,-0.48321831808168264,0.6919925367363661,-0.4715948563599852,0.26349774141641974,0.29880607902572115,0.12206664950315094,0.42394830604254047,,,,,,,,,,,,,,,,
1.2,1.2,-0.42674014568220725,-1.331763888574655,0.8357269019402142,-0.26953739173865277,0.18424600535731764,0.28227020284566123,0.23246631461566922,0.43668150454469995,,,,,,,,,,,,,,,,
1.3,1.3,0.7627382513239387,-0.2543917856261244,1.4387939416384725,0.5782361860366103,0.18137480865277536,0.3223698740452882,0.10993216702609525,0.31242283882523536,,,,,,,,,,,,,,,,
1.4,1.4,-0.8805296329103536,-0.5756402900102756,0.27970567128556867,-1.0511753805548651,0.17911958403980274,0.3629262835302302,-0.014480479053018669,0.18705940000720417,,,,,,,,,,,,,,,,
1.5,1.5,0.4725841196825464,0.647399168597638,1.4059016725012101,0.5319972194673278,0.20595570559979381,0.4190125703742894,-0.16508014758387488,0.27014623228688917,,,,,,,,,,,,,,,,
1.6,1.6,-0.7351867662321828,0.1738505776738055,0.26498604417537136,-1.0481385169567017,0.23308567914134123,0.4752557246664159,-0.31594433149303763,0.3553386228605157,,,,,,,,,,,,,,,,
1.7,1.7,0.562261787009944,1.192570330111209,-0.15831945077486348,-0.4530683335067049,0.29498798576900587,0.40297515141074763,-0.2264017568456486,0.32215214233137207,,,,,,,,,,,,,,,,
1.8,1.8,-0.2776702430956147,0.5356199395229414,0.04776654616387109,-0.7427778540959089,0.3572770423096513,0.32926509281328575,-0.13418529509600893,0.28764901106195606,,,,,,,,,,,,,,,,
1.9,1.9,-0.581941781124954,0.3565412828130761,0.40793664672045743,-0.8709121168214659,0.14213469661766795,0.2532352947433783,-0.018032010193091596,0.20855375661077805,,,,,,,,,,,,,,,,
2.0,2.0,-0.817146662490485,-0.5940386934626825,0.7593491529002099,-0.37690694322079554,-0.07666176075519145,0.17717494286075647,0.09843655201579814,0.12887116923017228,,,,,,,,,,,,,,,,
2.1,2.1,0.45455767361336996,0.677682766013757,1.2770150801170879,0.3508123090676143,-0.2632277710783519,-0.0015814064408903653,0.130451757412945,-0.014433035443054588,,,,,,,,,,,,,,,,
2.2,2.2,0.5608617101096568,1.1100359234411117,0.8768771120581548,-0.21168965912944662,-0.44933614827910634,-0.18179591392090882,0.16126782792635772,-0.15864058965188763,,,,,,,,,,,,,,,,
2.3,2.3,0.45195507035125526,1.1004635450612419,0.6859186190433,-0.48013338789097315,-0.4978572207660713,-0.24862349570318867,0.2957993767693806,0.2814140193441396,,,,,,,,,,,,,,,,
2.4,2.4,-0.22488270955321646,0.3498343160978175,0.37701809188895397,-0.9143764949480824,-0.5442830551101907,-0.3137243730332186,0.4319103491403042,0.73036602168847,,,,,,,,,,,,,,,,
