BEHAV,DAN,20170201.Fly2.2,20170201.Fly2.1,20170201.Fly2.3,20170201.Fly2.4,20170330.Fly1.2,20170330.Fly1.1,20170428.Fly2.6,20170428.Fly2.1,20170428.Fly2.2,20170308.Fly3.3,20170308.Fly3.6,20170331.Fly3.2,20170117.Fly1.1,20170117.Fly1.2,20170428.Fly5.2,20170428.Fly5.1,20170428.Fly5.7,20170313.Fly2.1,20170131.Fly1.2,20170131.Fly1.1,20170331.Fly2.4,20170428.Fly1.1,20170428.Fly1.7,20170428.Fly1.2,20170111.Fly2.2,20170111.Fly2.3,20170201.Fly4.2,20170201.Fly4.3,20170201.Fly4.1,20170310.Fly3.2,20170310.Fly3.1,20170131.Fly2.8,20170131.Fly2.1,20170131.Fly2.2,20170201.Fly1.1,20170313.Fly3.2,20170313.Fly3.1,20170313.Fly3.3,20170118.Fly2.2,20170118.Fly2.1,20170118.Fly2.8,20170428.Fly3.2,20170428.Fly3.1,20170331.Fly1.2,20170331.Fly1.1,20170313.Fly1.3,20170313.Fly1.4,20170313.Fly1.2,20170313.Fly1.8,20170310.Fly2.1,20170310.Fly2.6,20170310.Fly2.2
Motion,G2,-0.1487744550882184,-0.22407289808850628,-0.30474310700403273,-9.591922169998028,-0.14131356742759094,0.23527749003977438,-0.22532505867735608,-0.07828773680647405,-0.2022751860532368,0.0880387533075554,-0.03170237289862121,NaN,0.2574186184621088,0.03749691498999996,NaN,NaN,NaN,-2.0971734993333517,-0.01718580457059682,-0.8337239019319993,-0.20166112760447996,-4.015892332972344,NaN,-0.17258717405796387,-0.07579586040197794,-0.12431071621121781,-0.1951698445251986,-0.0075278843431769715,-0.04454293763920858,0.13502608990876142,-0.08693638183368879,0.030301469630134248,-0.04162864394574095,0.1564637970011179,-0.040189988495035855,-0.306323172059376,NaN,-0.15996892216818726,NaN,-0.8525417806353801,-0.3686107922891564,-0.2013131012395215,-0.20264065762517514,NaN,NaN,-1.4886018866471806,-1.4864242413223439,-1.4441144947069473,-1.1958485145714008,0.301564593014471,-0.2424129490056166,-0.01702868424155901
Motion,G3,-0.145976686152548,-0.0072139164195563765,-0.19106402155725188,-12.40595914486694,-0.016757338925827092,0.2940886190619739,-0.2742587546812214,-0.17245617913674338,-0.028733406751579205,0.033766960459755135,0.036040951606399085,NaN,0.3780062327401782,0.027716874096436417,NaN,NaN,NaN,-2.624095762383335,-0.26907302934975674,-0.9715262784941188,-0.7331001435146136,-3.95893829932351,NaN,-0.17679673026963272,-0.13772368746324304,-0.13829656471692164,0.05529489490102224,-0.19892999895775998,-0.1406484111844999,0.128401524565798,0.09831341449122177,-0.19702023014309944,-0.14719937561047858,-0.11848038114632531,0.10801463815933954,-0.2964635583837394,NaN,-0.1980303954096574,NaN,-0.8992626553312599,-0.5256260745560766,-0.19417797727586206,-0.10042915113047624,NaN,NaN,-1.627364233709966,-2.004440040634036,-1.0078932912872407,-0.9394912818759373,-0.10067225669424307,-0.22347957357020398,-0.02647841682401353
Motion,G4,0.2420158198431691,-0.06059177572219565,-0.351262526257466,-10.882473514430126,-0.1653936483223699,0.35310296359750437,-0.10281130924388582,0.41368283216326907,-0.0038206104860161183,0.10170382420244894,0.012442926846003233,NaN,0.2748814166265987,-0.07961399951751669,NaN,NaN,NaN,-2.134096531167595,-0.11331629752462935,-0.04494632072113314,0.16409988354470806,-3.396282533085045,NaN,0.07724896017298732,0.13212169160254073,0.01519453058640896,-0.1864787112184556,0.3382113503083196,0.20051115877970427,0.3248303000807059,-0.11981921637151816,-0.11105463086705036,0.162987872864926,0.28686101178875945,0.041231421330563345,-0.0042271201866654895,NaN,-0.06967803514977877,NaN,-0.8723960434559475,-0.4504138056184528,-0.08355408008452048,0.017389393455036206,NaN,NaN,-1.5043925287612443,-1.217464035251275,-1.5164972922424482,-0.7868805403660017,-0.23188099481366486,0.15905439963254553,-0.0491120520344166
Motion,G5,0.04833502983904692,-0.20888857663237803,-0.2769954458976278,-12.569517184843919,-0.08438882122379643,0.28307647594007146,-0.25372930804563,0.32105585003708936,0.05638758229215879,-0.10219566400777746,-0.10399690677017892,NaN,-0.16197362376900037,-0.14226687002404015,NaN,NaN,NaN,-1.6098190431065942,-0.10951228380998579,-0.3337882325701158,0.27176689851107516,-3.4230621621208392,NaN,0.03300910144709823,0.15220157303210535,0.25624700294554104,-0.2439288514592428,0.2474285527650839,0.18890753583143616,0.309454735708547,0.02340669010362806,0.13992113436241926,0.023440561575881036,0.16918011335059868,-0.13059203185328938,-0.23612610486048569,NaN,-0.18099589970988617,NaN,-0.744821167888801,-0.8023716459228962,-0.23071320977256593,0.026944840262624226,NaN,NaN,-1.909774711226698,-1.589888033244467,-1.9097260413822834,-0.10269634118014626,0.16135613989030528,0.05169019377602824,0.17595814412086008
ForVel,G2,0.02599322969026585,0.11926520320711653,-0.007824912301342746,-8.10514609727596,-0.09112962398458269,0.30735842460512885,0.19108998168066438,-0.019196045180878585,-0.0983770926285934,0.27537096276850537,0.06714235892265241,NaN,0.31317006603564757,0.09413505101354736,NaN,NaN,NaN,-0.782387089681849,0.019240678383607213,-0.35341187651812844,-0.38354954867772184,-3.497810084575632,NaN,0.03537357924249773,0.1854456306469745,0.34975936264445484,-0.17755019894142965,0.18559275969360722,-0.08497284924236759,0.1221884926697957,-0.0053608495354153796,0.074356187975125,0.385604609826411,0.4123287725887106,0.08434812493669941,0.07118586968880958,NaN,0.17875059246854608,NaN,-0.1457155697603536,-0.3825223578657937,0.04104883931410308,-0.03304845732314465,NaN,NaN,-0.9106379022306992,-1.5263992165285267,-1.272188826002394,-0.6691959864453376,0.3219975262063801,-0.2227479035244586,-0.09050005224247415
ForVel,G3,-0.14302736502223845,-0.2805794727012496,0.10128089996279799,-9.413053299885567,-0.16992519871380551,0.38395361072664347,0.41616684696068174,-0.027670487881398476,-0.035647246928481424,-0.12786565659760352,-0.018233079863703372,NaN,0.0995477217032652,-0.06412323729141134,NaN,NaN,NaN,-2.4066423035412927,-0.14760804876738676,-0.7737436222509837,-0.8057142700023561,-4.406034253875409,NaN,-0.10341021125486516,-0.13861815319260473,-0.18418029748602405,0.11858902928597914,-0.1335001880411859,0.005641804477445778,-0.10706359429113643,0.05101358730155192,-0.15858814708421876,-0.020117622145198633,-0.039513904409124834,0.4679465615156053,-0.14606496715317152,NaN,-0.16696926745307406,NaN,-0.7062483113836755,-0.4450906551240441,0.19706153642371993,-0.0753279156726554,NaN,NaN,-1.699090705280243,-1.5191597254326745,-1.518582719873339,-0.011153678285032331,-0.020697190107557883,-0.22266948254326535,-0.03971331273855183
ForVel,G4,0.4819688761936155,-0.1233138426886371,-0.19936395337212254,-8.765315444881221,-0.1532269848867256,0.36251660466747015,-0.012735207479113608,0.2738411978006384,0.1434160747593748,0.3779354578461551,0.21676188866843382,NaN,0.1594079285692811,0.04295271556674529,NaN,NaN,NaN,-1.5437578235769864,0.07080948281994004,0.33334613523033707,-0.2725443174996578,-2.890864289952254,NaN,0.2878260503784642,0.26776942727338937,0.26904125702860404,-0.21145996056475136,0.2859412338240992,0.38091747707815404,0.15790887719339552,-0.018511926405969437,-0.1183052398543123,0.4511442645935084,0.4767583839999666,0.16106217004547962,0.07222158699671377,NaN,0.1668330351577022,NaN,-0.7252163460114172,-0.470210550400153,-0.014426637027068256,0.019346166535906928,NaN,NaN,-1.0665313956254736,-1.6641593440663351,-1.3336008859112303,0.07768368469743547,-0.21116033785073007,0.1077091070146603,-0.12485586143230298
ForVel,G5,0.35611718335574893,-0.24342926746271343,-0.2150587094803007,-12.035354799734396,-0.18526455547795662,0.27267643768366057,0.10123440924437144,0.00964772944471226,0.16011349649016338,-0.03424689748468568,-0.10367063281414857,NaN,-0.08558263408502875,-0.05021788665737725,NaN,NaN,NaN,-1.3276741624809034,-0.1463679154555979,-0.208073802192549,-0.30842600406626697,-2.687324885497348,NaN,0.12151528134172784,0.26664565463680034,0.17272653775046165,-0.05963536031488892,0.2498602060398094,0.4398401462829278,0.056885035408104745,-0.045846601577110624,0.11112011683769518,0.09888334734011461,0.12242912909678927,0.0018923876941299156,-0.21693961187872612,NaN,-0.06173517816429874,NaN,-0.8520283127164785,-0.7164891736140186,-0.05566464265151394,-0.19498176325727345,NaN,NaN,-1.659759522540217,-1.6825210116735034,-0.5175678626069757,-0.09823700136339975,0.07051795516469961,0.03061519454064965,0.0538038640508639
AngVel,G2,0.006574444191909445,-0.1423567632482119,-0.19468840180069735,-5.494022894683579,-0.14552440119962462,-0.13031832581073255,-0.09296995796673668,-0.2779544764503803,-0.19341390388756863,-0.14112566314508834,-0.09185875789301967,NaN,-0.009485938313736009,-0.11326237680769324,NaN,NaN,NaN,-2.5739675885037037,-0.21669405883627868,-0.4816043222242037,-0.359351599704842,-3.5458909257242146,NaN,-0.2329335216730375,-0.1424834088035749,0.1070395690114091,-0.18030430261730945,-0.2579441379473719,-0.1559842271527787,-0.15694726250578528,-0.16245877621380034,-0.018542490293076863,0.2058599744876426,0.17966059259046208,-0.18285999100355754,-0.35683759808028626,NaN,-0.18905462448848098,NaN,-0.5052823458437576,-0.45933283440559824,-0.16958863396867674,-0.23094182228642413,NaN,NaN,-0.8839138473360406,-1.108770489835258,-1.9146640762330462,-0.6029584266553958,0.026632160885950884,-0.19137235433987598,-0.017595137803337657
AngVel,G3,-0.07911662081297477,-0.17472642100789204,-0.24888519935575149,-7.8489881788279146,-0.13313253263159885,-0.1878262451743642,-0.21384502985677734,-0.3253833795569365,-0.22432550656873063,-0.10089199643483626,-0.1185796634396461,NaN,-0.1590937725575139,-0.1649738676783581,NaN,NaN,NaN,-2.5369001658639467,-0.09968348474521638,-0.8603815886091521,-0.8599172916765865,-4.555026867973681,NaN,-0.2589829192790891,-0.1544445267226855,-0.1708041373200433,-0.2440294139073913,-0.23752183622897993,-0.22820499483456613,-0.33699221035649485,-0.35718895506326875,-0.09322376917785835,0.10786502979839208,-0.12591683340247917,0.24761311282448506,-0.29487221554713616,NaN,-0.2930397001640459,NaN,-0.5587388399829387,-0.6771196908146395,0.020125605112296663,-0.08502888330684266,NaN,NaN,-1.451726307894488,-1.6947567948143711,-1.5070408342513062,-0.24713533682146016,-0.21317019362425071,-0.2639760421593218,-0.07710921635310841
