BEHAV,DAN,20180413.Fly9.2,20160526.Fly1.1,20180402.Fly1.3,20160118.Fly1.2,20160118.Fly1.4,20160118.Fly1.8,20160118.Fly1.6,20160118.Fly1.3,20160118.Fly1.7,20160525.Fly6.1,20160525.Fly6.2,20160531.Fly2.3,20160531.Fly2.2,20160531.Fly2.1,20180313.Fly2.2,20151230.Fly1.1,20151230.Fly1.3,20151230.Fly1.2,20160210.Fly2.3,20160210.Fly2.2,20160205.Fly7.2,20160205.Fly7.3,20160205.Fly7.4,20160205.Fly7.1,20160211.Fly3.1,20160211.Fly3.4,20160211.Fly3.3,20160211.Fly3.2,20160525.Fly5.3,20160525.Fly5.1,20160525.Fly5.2,20160526.Fly2.1,20160614.Fly1.1,20160614.Fly1.2,20160614.Fly1.3,20160614.Fly1.4,20160211.Fly5.2,20160211.Fly5.1,20180208.2.3,20160205.Fly6.1,20160211.Fly2.1,20180307.3.2,20160628.Fly5.1,20160628.Fly5.2,20160628.Fly5.3,20160524.Fly4.1,20160203.Fly8.4,20160203.Fly8.1,20160203.Fly8.2,20160203.Fly8.3,20160203.Fly8.6,20160614.Fly2.2,20160614.Fly2.3,20160614.Fly2.1,20160205.Fly8.1,20160205.Fly1.1,20160205.Fly1.3,20160205.Fly1.6,20160205.Fly1.4,20160205.Fly1.2,20160205.Fly1.5,20160614.Fly3.4,20160614.Fly3.2,20160614.Fly3.1,20160524.Fly1.1,20180306.1.4,20180420.Fly7.2,20160628.Fly1.2,20160628.Fly1.1,20160628.Fly1.4,20160628.Fly1.3,20180418.Fly3.1,20160628.Fly3.1,20160628.Fly3.2,20180305.4.3,20160203.Fly4.4,20160203.Fly4.1,20160203.Fly4.2,20160203.Fly4.5,20160203.Fly4.3,20160524.Fly2.1,20160524.Fly2.2,20160524.Fly2.3,20160202.Fly1.3,20160202.Fly1.1,20160202.Fly1.4,20160202.Fly1.2,20180403.Fly2.2,20160601.Fly2.1,20180403.Fly5.2,20180328.Fly5.2,20160601.Fly4.1,20160525.Fly2.2,20160525.Fly2.1,20160210.Fly1.3,20160210.Fly1.4,20160210.Fly1.1,20160210.Fly1.2,20160119.Fly1.4,20160119.Fly1.2,20160119.Fly1.1,20160119.Fly1.3,20160614.Fly4.2,20160614.Fly4.1,20160118.Fly4.3,20160118.Fly4.8,20160118.Fly4.4,20160118.Fly4.5,20160118.Fly4.6,20160118.Fly4.2,20160118.Fly4.7,20160118.Fly4.1,20180420.Fly4.1,20180313.Fly4.1,20160601.Fly1.2,20160628.Fly2.4,20160628.Fly2.3,20160628.Fly2.2,20160628.Fly2.1,20180413.Fly5.1,20160118.Fly2.4,20160118.Fly2.5,20160118.Fly2.2,20160118.Fly2.6,20160118.Fly2.1,20160118.Fly2.3,20160201.Fly2.1,20160201.Fly2.7,20160201.Fly2.6,20160201.Fly2.4,20160201.Fly2.5,20160201.Fly2.3,20180402.Fly2.1,20160119.Fly3.5,20160119.Fly3.2,20160119.Fly3.4,20160119.Fly3.1,20160119.Fly3.3,20180220.3.3,20180413.Fly10.1,20180418.Fly5.2,20180303.1.3,20160130.Fly3.2,20160130.Fly3.6,20160130.Fly3.7,20160130.Fly3.1,20160130.Fly3.5,20160130.Fly3.3,20160130.Fly3.4,20180420.Fly5.2,20160525.Fly3.1,20160525.Fly3.2,20160524.Fly3.1,20160525.Fly4.1,20160525.Fly4.2,20160525.Fly1.1,20160525.Fly1.3,20160525.Fly1.2,20160210.Fly3.2,20160210.Fly3.4,20160210.Fly3.3,20160210.Fly3.1,20160628.Fly4.2,20160628.Fly4.3,20160628.Fly4.1,20180420.Fly1.1,20180420.Fly6.1,20180305.1.2,20180305.1.1,20160211.Fly1.2,20160211.Fly1.1,20160205.Fly3.1,20160211.Fly4.2,20160211.Fly4.1,20180305.2.3,20180313.Fly3.2,20180313.Fly3.1
Motion,G2,-0.17267539782326247,NaN,NaN,NaN,-0.9348419706869044,-1.6319276236256024,-0.6897418279505656,-2.052633514676024,-1.0052645713079031,-4.809255201980768,-0.18901944877690702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.3722909028998997,-0.9791929792470058,-0.24505393715329027,-0.22619228640700606,NaN,NaN,NaN,NaN,NaN,-0.23441228840354555,-2.1308790670326423,NaN,-0.07980254119040175,-0.10998541229649361,0.22447088951280614,-0.05455691101846427,-0.056169255998497425,NaN,NaN,NaN,0.1773412581557119,NaN,-0.2340177781393986,-0.28256394493505965,0.06921048000947783,0.047335134473173945,NaN,-2.195421425630342,0.04184693962707575,-0.28687628112429975,-2.3789624239254255,-0.6144968866933938,-0.11745296999083643,-0.07745956807150267,-0.042227627252301225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.03973275789773045,-0.09274449763664538,0.19682337160107521,-0.02625023302995877,-4.663283916416453,NaN,NaN,NaN,NaN,NaN,0.1214522046140677,-20.058838961154986,NaN,-0.2762972447283407,-0.5074657037861798,-0.18166302352738173,-0.6132193345616259,-0.13138893936056695,-0.5483435161675292,-0.06028674475063611,-0.06739879705870422,-0.14400881456442804,-0.0443948463396866,-0.006817264884679597,-0.04017784269510494,-0.021095410357039324,-0.10140320908996059,-0.09410706925628642,-0.07746865217329058,-0.07829339132099244,-0.05056471429760401,-0.20429798750201633,-0.010723843472957295,NaN,NaN,NaN,NaN,0.035005385079164064,-0.24757737440590089,-0.46571680353564004,-0.03452920314791985,NaN,-0.12881961987652413,NaN,-0.21339267383541216,NaN,NaN,-0.5467631873233829,NaN,-0.3023045505033599,NaN,-0.7692792753768252,-0.13726704313957083,-0.04454720758965314,-0.24861127090764756,-0.2387039576891521,-0.46830317893031514,-0.25045358681566365,-0.12073424056279802,-0.040711530833646314,-0.03855930546082442,-0.12524310827952512,-0.03466368574221579,NaN,-0.20954931058448567,NaN,NaN,NaN,NaN,NaN,NaN,-0.09632011963974874,NaN,NaN,NaN,-0.49187771926524504,NaN,-0.048482080687508144,-0.24664367403839993,-0.03635623021686163,-0.22190254059882641,NaN,NaN,-0.3444569668630213,-2.8801258791646465,NaN,NaN,NaN,-2.1766255501518024,0.04413404140377264,0.1905431174498574,NaN,NaN,NaN,-0.13258262426188705,-1.1721285936204384,-3.3442743075693677,-1.9125719149410725,-26.257090843917553,-0.847525409058627,-0.1382198941118815,0.08319554773477511,0.1454674184732585,0.27794018547883825,-0.37921034312471136,-0.2359959244654628,-0.8794136588607426,-0.1008592029657227,NaN,NaN,-0.08766754395424159,-0.4768619840602133,0.16166881048029103,-0.12893270571891513,NaN,NaN
Motion,G3,-0.1378843577602069,NaN,NaN,NaN,-0.842780390712299,-1.277717986477171,-0.5892634698210859,-1.7389043082898543,-0.43538795570389,-0.9768853038706902,-0.027520494016598285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5482408491205915,-0.47986649911353574,0.01330867531145652,0.016387629555229433,NaN,NaN,NaN,NaN,NaN,0.2824458362956115,-2.8641665223468586,NaN,-0.13133822664812422,-0.13125181030056554,0.09100736614708516,-0.16574746154344555,-0.02147464732583315,NaN,NaN,NaN,0.21040199553196803,NaN,-0.21285711916574424,0.24944835588927006,0.22701033766877243,-0.04383256524550272,NaN,-1.6264522852992314,0.08080525237782488,-0.3054300440671118,-3.1604695638283173,-0.7793196295325353,-0.3220237590942132,-0.045424032291243366,-0.21208286691940836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07249788259290235,0.0521988446267323,0.33630412627757766,-0.2637344509906303,-5.70930279257933,NaN,NaN,NaN,NaN,NaN,-0.12644179316727966,-14.503774735482127,NaN,-0.264071352584492,-0.4908542436300052,-0.41427435552715575,-0.5084355530423763,-0.12420379022068184,-0.5204164951782408,-0.024560509543523956,-0.10858417354461936,-0.10733736151444195,-0.11608977134792542,-0.05359073080501808,-0.06735647130546174,-0.04562876806776295,-0.21413473254569815,-0.0796569647395704,-0.07957984719220579,-0.1332570887782505,-0.09564558696137171,-0.03446747602975253,0.15336078029603128,NaN,NaN,NaN,NaN,-0.07002033069692137,-0.34878240858071896,-0.6125478438474208,-0.20035939736509234,NaN,-0.12621682106307408,NaN,-0.21657432948784305,NaN,NaN,-0.4079449775060411,NaN,-0.12379110489327338,NaN,-0.8031377385729381,-0.12657486769035242,0.09280795057628255,-0.049655356231799175,-0.2505586714135346,-0.2243789055916332,-0.2591859030875545,-0.09344844656862117,0.28473260695536595,0.34063169313724895,0.03400712782658488,0.16179451218623597,NaN,0.1080676314957898,NaN,NaN,NaN,NaN,NaN,NaN,-0.05554242104411067,NaN,NaN,NaN,-0.12741955030705188,NaN,-0.0783892379977249,0.0913951041690948,0.10080967399187724,-0.06774373487098728,NaN,NaN,-0.33807122324230376,-4.864683121265855,NaN,NaN,NaN,-1.7791451939144665,0.02141970800501858,0.04117938346704142,NaN,NaN,NaN,-0.3010033315857654,-1.0654756422701985,-2.939463805535029,-0.9252302434505879,-27.268679468141848,-1.1324149609001268,-0.30639613817894906,-0.1065631917534382,0.05095625656581282,0.46157105883179794,-0.27382122130295516,-0.3078901075941993,-0.6530501031942599,-0.379259367955995,NaN,NaN,-0.011542345756619943,-0.34172198391495967,0.027009264286978807,-0.10107600363418867,NaN,NaN
Motion,G4,-0.18534830676159508,NaN,NaN,NaN,-1.1185568907961945,-2.0401229873760345,-0.6127218822251337,-2.347456892145854,-1.170856196270015,-5.1842284922455315,-0.3426444592029081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.629245619156599,-0.9633800915599593,-0.05660679550344061,-0.006930007637651725,NaN,NaN,NaN,NaN,NaN,-0.38319254845702466,-2.099790200228987,NaN,-0.07789878349791479,-0.18353219752610705,-0.03451878529788166,-0.11167140539701848,-0.12970245129123303,NaN,NaN,NaN,-0.08945915703305274,NaN,-0.16861918044141366,-0.34169344316759753,-0.08117097410630247,0.044583529738351,NaN,-2.5940979852088466,-0.03500168699463435,-0.3227895200113928,-2.6220309282138796,-0.6776363218958044,-0.3343371547197116,0.10279023990467795,0.09045001860039192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.09824898061134135,-0.12295725691009252,0.26091812368318135,-0.5526850298533468,-3.7902086789672245,NaN,NaN,NaN,NaN,NaN,0.23691238619153832,-13.047096188544337,NaN,-0.27965992579246546,0.10945858969863387,-0.0044145007965024075,0.03621051322976143,0.3652262648617721,-0.08173783168650606,0.1472271551350347,-0.08784617268284278,-0.14552207090853897,-0.025334076900486835,-0.036114086443326254,-0.058988074440726734,-0.10642073749371761,-0.16869305166636428,-0.008494025096752678,-0.0851817064995648,-0.1503674389728129,-0.06853200154755945,-0.18005406539319035,-0.16401039369961556,NaN,NaN,NaN,NaN,0.04082613512040145,-0.39540450153840023,-0.26540752926491074,0.0725247990200868,NaN,-0.13237860300944737,NaN,-0.16917464314457842,NaN,NaN,-0.43929951631226216,NaN,-0.21798994398301264,NaN,-0.6239614323275755,-0.12587882232357162,-0.05295310856571067,-0.21865990219290854,-0.28917882990432564,-0.25609297052943125,-0.17658481016225025,-0.17129705374639825,-0.16328144094175756,-0.2816770940060709,-0.45829947252150793,-0.05504582662195645,NaN,-0.18776084056483278,NaN,NaN,NaN,NaN,NaN,NaN,-0.06736742059877687,NaN,NaN,NaN,-1.0644666945647332,NaN,-0.03043220838819627,-0.09820261931154883,0.020867713010150002,-0.10151974071095204,NaN,NaN,-0.4606494649894548,-7.522788439589968,NaN,NaN,NaN,-1.740860947300873,-0.058923913106533554,0.042436893168490974,NaN,NaN,NaN,-0.4002790900055808,-0.8980222267392941,-3.29587479661219,-1.833581152873145,-30.098875619775843,-0.8049206292779802,-0.21078586849381198,0.11240745609205394,0.0344190686177569,0.07453727623981232,-0.49370947375930374,-0.2851812033499306,-0.83641023397877,0.012050949005335876,NaN,NaN,0.11490252959994751,-0.3005762765271427,0.5140216936795773,-0.15464853813948198,NaN,NaN
Motion,G5,-0.03596380378968411,NaN,NaN,NaN,-1.0881800052235047,-1.6398645172171156,-0.754568310451238,-2.0285170746972407,-0.9313569620764746,-3.5325705748845664,-0.18040162581045394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.3278165773437163,-0.9350565993929363,-0.23048400638633892,-0.04195966156329045,NaN,NaN,NaN,NaN,NaN,-0.32666015848969066,-2.930090883661879,NaN,-0.13198583224969318,-0.16930594480213657,0.21030953826311705,-0.10421282462458725,-0.17199291821368212,NaN,NaN,NaN,-0.013901213650151956,NaN,-0.30659572544480707,-0.5097389995187154,-0.02739696516864587,0.18241787110381713,NaN,-1.8513642272813664,0.2669442409933178,-0.3192502215840358,-2.842135573635011,-0.7865518145666028,-0.2485497862237731,-0.09217915378622532,0.013133038450533041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.08959784122406322,-0.14210780801459255,0.3661539330373309,-0.49591716698005284,-5.414834537224532,NaN,NaN,NaN,NaN,NaN,0.5468270989871313,-16.034614953312957,NaN,-0.39939652898792577,-0.5952376610511902,-0.26667260445350127,-0.2962831137538233,-0.020537439568794946,-0.2891542378841552,0.11163779181517441,0.05643701443214322,0.022034050796504445,-0.04164810746799397,-0.022287170054468675,-0.08434585367160063,-0.11137842034855261,0.019226134314438426,-0.008653377481383506,-0.09330542042952228,-0.12416518065278703,-0.0393432644181948,-0.13867913516830477,-0.14303322436636567,NaN,NaN,NaN,NaN,-0.04485350756991213,-0.323537006375497,-0.31031313858512255,-0.12941055040911587,NaN,0.29348939530963336,NaN,-0.17805873205442024,NaN,NaN,-0.38136444244595236,NaN,-0.06323824624560914,NaN,-0.9785770799716311,-0.14097707482454402,-0.010868498296341622,-0.28237082164462457,-0.17214489985371695,-0.1577892333214279,-0.24220413941250207,-0.17254853395755854,-0.044517857683314954,-0.32613768336991367,-0.23038875384411583,-0.032257093875464715,NaN,0.08428548574244166,NaN,NaN,NaN,NaN,NaN,NaN,-0.14422727272544744,NaN,NaN,NaN,-0.20584832872394387,NaN,0.0013350622876926455,-0.21321207656909524,-0.008406098785867844,-0.20048731393294394,NaN,NaN,-0.5739681428020227,-8.259143947311692,NaN,NaN,NaN,-2.1813734380250267,-0.0395678902798553,-0.0460310996451847,NaN,NaN,NaN,-0.47473340752468096,-1.1347795755393877,-3.3957929152153845,-1.5947517235848978,-29.320105697971442,-0.9619190614738635,-0.3207196787354434,-0.08387075440415903,0.058481900628008066,0.027197553148584297,-0.5580079569801939,-0.3102336189587529,-0.876223884227306,-0.12835015932606697,NaN,NaN,0.004115161521231259,-0.33150635954436436,0.43876662178605164,-0.13872549975356496,NaN,NaN
ForVel,G2,-0.06882232696819268,NaN,NaN,NaN,-1.2177971287275922,-1.677971242370777,-0.7148076792718494,-2.2847900290471044,-1.0241674029728687,-4.226888469292926,-0.20343649949604314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.0476793044226929,-0.49466172410305487,0.029556895532613314,0.028212074692864575,NaN,NaN,NaN,NaN,NaN,-0.35720279597209803,-2.4981160257113983,NaN,-0.05083217683436092,-0.07289438825149208,0.2724883437991761,0.08814754433666394,-0.054576027940540506,NaN,NaN,NaN,-0.11585779834006615,NaN,-0.19666029426269316,-0.5986711823417386,-0.0049855689954079185,0.09537709714478071,NaN,-2.1644659483813444,-0.08843273041290267,-0.3117952359251568,-2.2094624705845245,-0.22668549154576256,-0.2467406182350944,-0.015009483790318745,0.2668721079490022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.009830470648442002,0.05854939207147347,0.2576141083863208,-0.429392564554528,-1.6797125618994726,NaN,NaN,NaN,NaN,NaN,0.470267646428119,-19.16610217505215,NaN,-0.07403013907321943,-0.5738873973561394,-0.06983456299856994,-0.5625930062524165,-0.05991411555154902,-0.45793306011368284,0.12547604693502512,0.04287793912069782,0.01650370419263092,0.024989732335151116,0.1329532007180244,0.21959046901634482,0.017925799672129594,-0.10660899633080456,-0.03622220688366795,-0.011288735286258733,-0.030188560952483012,-0.08023960511860695,-0.13328765235893214,-0.06258007851197678,NaN,NaN,NaN,NaN,0.363590043799462,-0.014373300108665,0.016995539877084465,0.2753707808011512,NaN,-0.022664265868609146,NaN,-0.18644444283465944,NaN,NaN,-0.4364668066412771,NaN,-0.28580096141892675,NaN,-0.5594883585330106,0.034437763777465435,0.05188436722461298,-0.18097398213352034,-0.04444822997040321,-0.26054111309114725,0.008608421076399697,0.01425529326649011,-0.07535325586296415,-0.07763366483561263,-0.2082336236268305,-0.08843729479214057,NaN,-0.268000740319029,NaN,NaN,NaN,NaN,NaN,NaN,-0.019553287500367,NaN,NaN,NaN,-0.6941949906326992,NaN,0.3946747397249085,-0.06438783905178513,-0.09622160330973051,-0.18926951608095433,NaN,NaN,-0.2296087574394836,-3.60996386080397,NaN,NaN,NaN,-1.0300759876469585,0.18595457579305963,0.1623228802412524,NaN,NaN,NaN,-0.4769158677855523,-1.169313469749822,-2.6356484629314942,-1.206076253511946,-16.69722286274797,-0.539928071062787,-0.1654653211856214,0.4537378821518516,0.46239526216650795,0.3067088821924383,0.26001812860511153,-0.158775959450294,-0.4987055335140207,0.08933259184222841,NaN,NaN,-0.012827127845466801,-0.4472643108361294,0.05505889928804275,-0.0549152567452158,NaN,NaN
ForVel,G3,-0.009808310697684064,NaN,NaN,NaN,-1.4723469568177827,-1.5361277076051336,-0.6881866554359202,-1.828111055907656,-0.5326561113145878,-3.0873805918469577,-0.008988221468915869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.3325919608478571,-0.8579050284956564,0.010089341482004022,0.38058514362988505,NaN,NaN,NaN,NaN,NaN,-0.32799287021131796,-2.8971748472710477,NaN,-0.12328385255045893,-0.15956520184875567,-0.02289796267229116,-0.19129045550554125,-0.08840063409108123,NaN,NaN,NaN,0.13169274836744416,NaN,-0.08432503063887453,-0.553267062007452,-0.04789754134201174,-0.14825281504686183,NaN,-2.0232835521968413,-0.0677341340589106,-0.3018537437824669,-3.1280372181644234,-0.6091457461680203,-0.17094965328517198,0.0215975029761587,0.012825818314139203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30329274515960747,0.06279676581265325,0.26970523312350947,-0.6879703415791634,-5.400057260804855,NaN,NaN,NaN,NaN,NaN,-0.07082246096723144,-13.464811870295476,NaN,-0.16856434774399887,-0.504312471560584,-0.3897296938200616,-0.686116695250967,0.00035144652060259407,-0.658973326255085,-0.04550753191613999,-0.09006625237651567,0.0018633993467626064,0.1179424340732722,0.41783879457358375,0.08538159294671843,0.3818410001792152,-0.22424587609503233,-0.027717825805949614,0.10197594050598724,0.008919728686488937,-0.027249004363296248,-0.18433582287673067,-0.1407668354992715,NaN,NaN,NaN,NaN,-0.06346188347375414,-0.21114405716538487,-0.49353006181065195,-0.16059007911629086,NaN,-0.07015326054077975,NaN,-0.21808995611550186,NaN,NaN,-0.47354320832905983,NaN,-0.14334141706176018,NaN,-0.5564845567765124,-0.13656051784208434,0.0947553089415244,-0.24926439871040862,-0.2373226436398368,-0.3551326311804026,-0.15263845117434616,0.10100177165955027,0.08812908434048572,0.18986987737653283,-0.1695315674364215,0.004193199330146835,NaN,-0.056002083720535056,NaN,NaN,NaN,NaN,NaN,NaN,-0.008359805951406951,NaN,NaN,NaN,-0.401651856409563,NaN,0.06447634245644651,0.2376293183527598,0.014565664367526487,-0.04592061219164778,NaN,NaN,-0.360617379126007,-5.132795015840626,NaN,NaN,NaN,-1.2331525388645357,0.19483054649692721,0.16284591201199228,NaN,NaN,NaN,-0.49262334946732556,-0.988113917485502,-2.082039212974746,-1.1840431549607975,-25.10718000194364,-0.827090354264088,-0.3251471479784249,-0.04288568699764839,-0.06217684048069305,0.22188754288374202,0.28646263558956053,0.03979751702713519,0.017166963493958298,-0.12166089730276286,NaN,NaN,0.1805859366912803,-0.24866635459038489,0.05193375879846507,-0.07097507569881256,NaN,NaN
ForVel,G4,0.018093036229023474,NaN,NaN,NaN,-1.1821959352887688,-1.7061356072707423,-0.5839056451728473,-1.8812738905106774,-0.9224738828418426,-5.6786835308101935,-0.2810494738425724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.514946918101435,0.11651324134747998,0.5217098430736733,0.6025056364222364,NaN,NaN,NaN,NaN,NaN,-0.1259068262158476,-1.7292569337452433,NaN,-0.04853728211524344,-0.16839294607063104,-0.05334936604458629,-0.043555124923099875,-0.0881264064923235,NaN,NaN,NaN,-0.005233830405068529,NaN,-0.11391407303929757,-0.5279008094828916,0.1446191546041039,0.5389763286731042,NaN,-2.5450495916572238,0.03502457487638555,-0.32621855352600826,-2.5684114318822173,-0.5830538234654741,-0.07154365017136688,0.3376890856044251,0.24661456281380179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.027500389150150628,-0.11232196272589645,0.32927070561840477,-0.7120578042914281,-1.5865751242256065,NaN,NaN,NaN,NaN,NaN,0.4278143400999763,-18.3981601027341,NaN,-0.07286787357794688,0.1377171355471145,0.36040814651590747,0.34402967660574324,0.49791438987272296,0.21160942359677293,0.19322560390484533,0.02895154549087009,-0.019401741474580847,0.04059174370158136,0.2745598870560777,0.19403455072467524,0.013220008429536856,-0.10464182562636393,0.25943581272324034,-0.03134591503553086,-0.09889041156526868,0.04929725525986384,-0.11604113429544682,-0.02461884687082727,NaN,NaN,NaN,NaN,0.08570250578898131,-0.007357510390248123,-0.016194572562790777,0.32448873128616684,NaN,-0.024242244028956694,NaN,-0.10492140835704689,NaN,NaN,-0.3520195936072219,NaN,-0.18908429868002763,NaN,-0.2894558801072973,0.006651529228791975,0.013158439079173134,0.20031228943773127,0.12389993746553618,0.36124517393341427,0.08820164214849724,-0.026189037664572146,-0.20753338930917553,-0.2519944269726797,-0.40753899398301363,-0.04948174107068071,NaN,-0.25472561810110683,NaN,NaN,NaN,NaN,NaN,NaN,0.01838052366765952,NaN,NaN,NaN,-1.2146895048822843,NaN,0.30685583169221353,0.3361225456498944,0.1624412410952426,-0.04996079579063872,NaN,NaN,-0.41511702405025663,-8.091106650071838,NaN,NaN,NaN,-1.4337437546640777,-0.004991224452709275,0.018644582049060165,NaN,NaN,NaN,-0.3808632193895414,-1.0247132241136665,-2.043965692199812,-1.1408309771427598,-17.805036755017415,-0.41922993457878555,-0.06591057897355279,0.3107074679841806,0.37510397305465015,0.227431591415012,-0.13825351946406594,-0.14487498265669507,-0.49573547670976237,0.2880324214246177,NaN,NaN,-0.09463072389448546,-0.06926429681863944,0.4196805697009216,-0.14069173908263144,NaN,NaN
ForVel,G5,0.02989308154657988,NaN,NaN,NaN,-1.3090813565492483,-1.5490988438946824,-0.6309327296581799,-1.7088955025053698,-0.8892398912546844,-4.054703115623277,-0.273780371264573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5288259455587,-0.35503635601762795,0.1284468587450568,0.39226483853727157,NaN,NaN,NaN,NaN,NaN,-0.2930023978160903,-2.2977542791301744,NaN,-0.08983474761450139,-0.14269926162191648,0.13407269157071577,0.0890149480321859,-0.09893464365969051,NaN,NaN,NaN,0.03622565645562148,NaN,-0.22760439811421862,-0.5797474167976138,-0.025128987392161406,0.32286249264640876,NaN,-1.8470065512325053,0.24030557389493135,-0.34263134429746644,-3.0557013147222056,-0.4163914791286476,-0.05823743404979975,0.05270298838181686,0.16368869593960766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09829478229706523,-0.044075382089444615,0.45162823322438117,-0.27648956544066805,-4.978987170115786,NaN,NaN,NaN,NaN,NaN,0.5677574395470895,-11.080108665609918,NaN,-0.3489281729466489,-0.45332004577410867,-0.18194365061244544,-0.3238516014728856,-0.021095817831206176,-0.2914662897338509,0.009797499879311555,-0.04145750591151698,0.05198606790714966,0.19096634116216793,0.21460576916044527,0.15914585586646957,0.06732596108383038,0.321581834437639,0.3106545585872996,0.08521029707138739,0.09455773826590896,-0.012324291693569744,-0.1534038715756183,0.14002730057170365,NaN,NaN,NaN,NaN,0.07938194084835515,-0.10601776902066073,-0.26140829634465446,0.0914204747578613,NaN,0.2333273545923188,NaN,-0.1712007577228154,NaN,NaN,-0.31915090888158804,NaN,0.013355393406388694,NaN,-0.3759225302222895,0.042527420741527044,0.29218288741007736,0.1526068220324388,0.0977274963924637,0.5609051286174264,0.12606694757811543,0.43052326934750806,-0.10609746536564924,-0.24300044141572763,-0.1465522001789048,-0.057482894307454346,NaN,0.20305387074899162,NaN,NaN,NaN,NaN,NaN,NaN,0.0033353388860483113,NaN,NaN,NaN,-0.3940140026486161,NaN,-0.010807221953198054,-0.08780995592368801,0.01829424668927304,-0.17549360956380666,NaN,NaN,-0.440538771544815,-8.178044912631002,NaN,NaN,NaN,-1.5985695032923042,0.022491596287248283,-0.00047266041587756824,NaN,NaN,NaN,-0.5376328270863315,-1.0833097332217454,-2.249051215445304,-0.8231014569230601,-21.873970486877152,-0.9533410249967467,-0.2973697859177704,0.029957119163635193,0.26291455144396236,-0.055417697781558806,-0.6235735539128435,-0.05021345676402644,0.1731997374689892,0.1601338896593395,NaN,NaN,0.28094834037566185,-0.24797997882343426,0.20640560416120823,-0.13217544725641406,NaN,NaN
AngVel,G2,-0.11496179204269752,NaN,NaN,NaN,-1.20449163144644,-2.089059470000325,-0.968053777314879,-1.8597929115964607,-0.6284736515158997,-4.563489106664799,-0.36281833590924073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.394823283901376,-0.16863749437335107,-0.41949071733897414,0.02177046449704445,NaN,NaN,NaN,NaN,NaN,-0.39992058040350487,-3.098070983752603,NaN,-0.10466887271986014,-0.16639918610502868,0.08041005925325062,-0.23948978885279293,-0.16955250365735441,NaN,NaN,NaN,-0.08935270290678643,NaN,-0.4035922211247318,-0.541182182007051,-0.1133550183809171,-0.07108313172540814,NaN,-2.6595085389803326,-0.020535364374314247,-0.25662607273644467,-2.875584325813437,-0.6667201556769426,-0.36014001087928604,-0.20467142014647344,-0.15792669187022446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.060829717874822276,-0.00957485209040465,-0.05994947413003571,-0.43772337254711435,-4.037010319248605,NaN,NaN,NaN,NaN,NaN,-0.13192344202241446,-25.757179361476314,NaN,-0.506530529421571,-0.8793445005337688,-0.32599431957847735,-0.5934773755847109,-0.212357664470606,-0.672809740788568,0.012822498954556116,-0.07679743519494475,-0.13589166568580735,-0.04603203756496432,-0.07122107388170007,0.11897229715610358,-0.07428342539321253,-0.2461681723742526,-0.1048953430276447,-0.1426108505458603,-0.0735644263106523,-0.08594826714412207,-0.19022983430727236,-0.11771929368366241,NaN,NaN,NaN,NaN,-0.10738174060214556,-0.4356043710552644,-0.6671764978147157,-0.07640219065712817,NaN,-0.1712341826848367,NaN,-0.17584355277406205,NaN,NaN,-0.48049280389004667,NaN,-0.22936991167062581,NaN,-0.7817542066981258,-0.1199666380887845,-0.13505896572568754,-0.177462080224577,-0.08191269101288468,-0.2757408937059693,-0.17564047778025094,-0.026114516810743282,-0.1502764588259624,-0.08993515588876067,-0.4588773719042736,-0.06260143770904025,NaN,-0.3914238695840413,NaN,NaN,NaN,NaN,NaN,NaN,-0.02723871146832435,NaN,NaN,NaN,-1.0227802043610423,NaN,-0.038134565767287354,-0.2009337094712056,-0.18640431205111985,-0.1822794229189748,NaN,NaN,-0.43716090380525396,-4.013825954032191,NaN,NaN,NaN,-1.6919508265428802,-0.10399626336625811,-0.10801930166732121,NaN,NaN,NaN,-0.5575045830229968,-0.9106040013037549,-2.6307456733608094,-1.941731688028423,-30.511765236487445,-1.034831930813748,-0.3516191822117387,-0.05088520498436244,-0.02858050652251687,0.01883768037585376,-0.9012498007875669,-0.4470433363931585,-0.7394856728048858,-0.33259840758281456,NaN,NaN,-0.008306197906831736,-0.4339135862705026,0.06863186531021925,-0.16577046827063624,NaN,NaN
