Start,Stop
0,12.567
14.833,25.567
26.7,29.85
30.367,33.45
34.55,41.433
41.983,43.133
45.633,48.2
48.683,49.5
50,53.133
53.65,54.233
55.283,56.4
58.9,61.517
62.117,62.717
63.267,65.067
65.95,72.217
73.733,76.25
77.133,85.167
86.933,88.567
89.35,93.283
93.95,95.6
96.617,104.42
106,109.5
110.1,111.55
112.4,115.17
115.73,117.75
118.47,123.15
125.85,127.62
128.28,129.48
130.03,136.48
137.38,138.18
138.82,140.77
141.47,145.92
146.67,150.8
152.77,154.88
156.48,162.55
164.63,165.7
168.08,170.73
171.27,172.78
173.95,178.97
180.47,183.38
184.75,188.22
189.37,192.87
194.28,196.82
198.67,201.25
202.43,204.38
204.87,206.93
207.45,211.27
213.18,218.45
220,225.73
227.1,228.38
231.05,232.9
234.63,236.18
237.43,240.48
242.45,245.23
246.7,251.8
255.1,257.17
257.9,258.58
259.92,260.82
261.52,262.9
263.42,265.12
265.62,266.33
267.6,268.95
270.78,279.93
280.55,282.75
283.43,286.98
289.13,290.42
291.78,293.92
296.12,298.68
