Stop,Start
4.0333,4.5333
4.9333,5.7833
10.55,12.467
13.767,14.483
19.35,20.15
22.133,22.983
24.083,24.767
27.6,29.917
34.65,35.367
36.8,37.6
40.983,44.083
45.9,46.383
47.433,48.05
49.867,52.367
57.083,58.2
61.067,62.05
63.2,63.683
73.483,75.667
76.867,77.75
78.517,80.55
84.483,85.367
87.567,89.1
90.833,91.65
92.75,96.1
98.117,98.883
108.48,109.3
111.05,112.13
113.53,114.58
125.47,126.03
127.03,130.83
132.97,133.6
135.35,135.88
137.03,137.72
140.25,141.27
144.07,145.33
146.67,147.3
148.92,149.42
154.4,157.92
165.27,168.1
170.52,171.03
172.7,174.22
176.13,178.4
180.55,181.25
184.38,185.03
187.72,188.45
191.12,194.12
196.92,197.7
202.85,203.55
205.67,206.67
215.35,218.1
221.23,222.1
229.22,231.78
235.8,236.43
237.45,238.22
239.1,239.9
244.02,244.88
252.28,255.75
260.87,261.88
264.12,265.22
271.6,274.45
277.2,277.78
281.5,284.62
287,287.6
291.37,291.85
293.57,294.85
296.6,298.08
