T1,T2
1.2333,1.7833
3.85,4.4333
6.4,7.05
19.833,20.783
21.183,21.783
25.5,26.267
32.133,37
46.583,47.217
50.717,51.2
54.717,55.35
56.15,56.833
61.117,61.633
62.217,62.817
67.6,71.533
83.617,84.25
87.85,88.633
94.917,95.617
99.35,99.867
100.4,101.2
101.93,102.53
107.12,108
125.43,127.03
134.33,135.08
144.08,148.02
150.98,151.7
155.93,156.47
158.88,159.45
162.93,163.75
163.78,166.97
174.22,174.77
176.62,177.1
183.28,184.03
184.07,184.87
202.7,203.25
208,209.48
209.52,210.12
210.57,211.57
211.62,212.58
219.15,219.73
227.82,228.38
231.98,232.85
236.97,237.6
245.73,246.67
250.73,253.28
260.58,261.07
271.32,275.28
278.8,279.72
290.02,290.57
293.75,297.35
