T1,T2
25.099,25.433
38.616,38.983
40.199,40.466
42.782,43.066
51.732,52.066
72.249,72.732
75.815,76.115
78.482,78.865
81.498,81.948
87.682,88.015
93.748,94.065
100.91,101.15
106.98,107.23
108.78,109.01
109.71,110.11
117.38,117.65
118.38,118.71
131.66,132.11
137.08,137.43
139.53,139.88
142.55,142.96
147.01,147.3
164.88,165.15
167.25,167.61
169.7,170.05
171.83,172.05
173.2,173.46
175,175.41
187.83,188.15
192.83,193.16
197.5,197.88
204.93,205.36
206.48,206.76
208.65,209
217.6,217.88
219.96,220.38
223.36,223.73
230.05,230.36
234.45,234.71
236.28,236.48
238.96,239.26
239.76,240.06
241.09,241.41
248.91,249.16
259.51,259.88
262.98,263.36
274.54,274.91
278.19,278.66
292.56,292.88
294.91,295.19
297.33,297.64
