T1,T2
12.85,13.284
15.8,16.167
25.334,25.617
27.401,27.734
32.834,33.101
35.167,35.501
36.084,36.551
38.784,39.134
44.101,44.568
47.618,47.918
54.718,54.901
57.801,58.235
61.068,61.385
62.768,63.151
64.935,65.385
72.035,72.235
73.702,73.952
75.635,75.985
86.002,86.285
93.319,93.685
105.39,105.7
107.04,107.27
108.64,108.94
111.67,111.94
117.89,118.14
121.14,121.4
126.94,127.2
131.59,131.8
137.25,137.72
140.57,140.75
143.94,144.17
146.1,146.44
148.95,149.17
169.99,170.25
171.27,171.67
174.15,174.47
176.19,176.6
180.87,181.29
184.17,184.42
186.17,186.6
187.7,187.92
191.12,191.57
203,203.37
213.09,213.45
215.97,216.19
220.25,220.55
223.77,224.1
243.84,244.12
251.66,251.87
254.47,254.77
258.21,258.62
267.94,268.21
269.81,270.01
271.67,272.14
273.86,274.17
275.57,275.81
277.82,278.21
280.97,281.44
282.69,283.01
287.07,287.56
292.52,292.91
294.97,295.29
296.74,297.19
298.66,298.94
