T1,T2
2.6784,3.6479
4.9625,5.8005
9.9249,12.751
13.31,16.613
17.878,19.686
20.294,22.824
23.432,25.601
26.505,27.441
30.087,36.446
37.925,39.552
40.16,40.949
41.442,43.397
45.747,47.028
47.505,48.737
49.904,52.057
55.836,56.658
57.331,58.761
60.289,61.587
62.064,65.531
66.073,71.036
72.35,74.24
74.716,76.146
76.754,79.235
87.698,87.731
88.766,88.881
89.489,90.13
91.51,92.874
93.794,96.144
96.653,96.834
98.362,100.28
100.96,101.35
101.96,105.02
105.82,108.58
109.13,109.16
110.6,112.33
113.12,113.92
114.45,115.96
116.47,119.12
119.81,125.06
125.89,127.66
128.32,129.65
131.46,138.87
139.34,141.76
142.6,144.93
145.82,153.11
154.82,154.86
155.92,163.94
164.52,166.32
166.8,173.42
174.16,179.63
180.18,181.29
181.82,185.57
186.13,186.95
187.47,190
190.66,191.06
191.75,193.17
194.28,195.57
196.28,203.48
204.5,208.26
210.08,221.01
221.6,223.25
224.84,227.24
227.85,227.88
228.68,230.87
231.36,234.81
235.45,237.16
237.94,245.22
246,248.73
249.77,250.67
251.39,254.32
255.14,259.38
260.17,263.29
265.64,274.17
274.66,280.4
281.25,282.01
282.57,287.59
288.99,292.23
292.9,297.16
297.65,299.95
300.62,302.15
