TIME,FILTER_VALUE
-4.0,-0.04780728055688132
-3.9000000000000004,-0.021207561706549583
-3.8000000000000003,-0.013040197229944529
-3.7,-0.010470808503265629
-3.6,-0.005793293888924969
-3.5,-0.003170264414852918
-3.4000000000000004,-0.0003544171729062839
-3.3000000000000003,0.002204291100413178
-3.2,0.007299341022000079
-3.1,0.009577662979381106
-3.0,0.013644908436944585
-2.9000000000000004,0.010000495982226638
-2.8000000000000003,0.003858596456516003
-2.7,0.001520194124662522
-2.6,0.00043710500750662534
-2.5,0.0020749695270682426
-2.4000000000000004,0.004449048201410727
-2.3000000000000003,0.004718352655681253
-2.2,0.0022894393777858593
-2.1,-0.0030530674761032888
-2.0,-0.00755368315814538
-1.9000000000000001,-0.00929187923276312
-1.8,-0.010995101087387731
-1.7000000000000002,-0.005375056537191848
-1.6,-0.0008401446668982525
-1.5,0.000540369084937515
-1.4000000000000001,0.002444736165004645
-1.3,0.007560065739130125
-1.2000000000000002,0.004803086515118279
-1.1,0.003720130093697663
-1.0,0.0023213218705364328
-0.9,0.0009784294772577807
-0.8,0.00031499739133587215
-0.7000000000000001,-0.00673281481605432
-0.6000000000000001,-0.01150964573888645
-0.5,-0.013008200735075007
-0.4,-0.009710842741879605
-0.30000000000000004,-0.004514027574812063
-0.2,-0.0011020662919743866
-0.1,-0.0019257566702133863
0.0,-0.003263032729452457
0.1,-0.0034691730668810175
0.2,-0.0012386924294649252
0.30000000000000004,-0.001002251348279871
0.4,-0.000858710555079026
0.5,-0.004969684217559268
0.6000000000000001,-0.003678399393816216
0.7000000000000001,0.0005254102889503605
0.8,-0.0030093859986611215
0.9,-0.008902672115457819
