Trial,Pulse,Start,Stop
20170201.Fly2.2,1,90,150
20170201.Fly2.1,1,90,150
20170201.Fly2.3,1,90,150
20170201.Fly2.4,1,90,150
20170330.Fly1.1,1,90,150
20170428.Fly2.6,1,90,150
20170308.Fly3.3,1,90,150
20170308.Fly3.6,1,90,150
20170331.Fly3.2,1,90,150
20170117.Fly1.1,1,90,150
20170117.Fly1.2,1,90,150
20170428.Fly5.2,1,90,150
20170428.Fly5.7,1,90,150
20170313.Fly2.1,1,90,150
20170131.Fly1.2,1,90,150
20170131.Fly1.1,1,90,150
20170331.Fly2.4,1,90,150
20170428.Fly1.1,1,90,150
20170428.Fly1.7,1,90,150
20170428.Fly1.2,1,90,150
20170111.Fly2.2,1,90,150
20170201.Fly4.3,1,90,150
20170201.Fly4.1,1,90,150
20170310.Fly3.2,1,90,150
20170131.Fly2.8,1,90,150
20170131.Fly2.1,1,90,150
20170131.Fly2.2,1,90,150
20170201.Fly1.1,1,90,150
20170313.Fly3.2,1,90,150
20170313.Fly3.1,1,90,150
20170313.Fly3.3,1,90,150
20170118.Fly2.1,1,90,150
20170118.Fly2.8,1,90,150
20170331.Fly1.2,1,90,150
20170331.Fly1.1,1,90,150
20170313.Fly1.4,1,90,150
20170313.Fly1.2,1,90,150
20170313.Fly1.8,1,90,150
20170310.Fly2.1,1,90,150
20170310.Fly2.6,1,90,150
20170310.Fly2.2,1,90,150
