ABS_HEADING,G3
0.8011409573333335,-0.4860268710431983
0.19344975511999998,-0.8974715088850519
0.7608663467333333,-0.3735348869209475
0.4452223548,-0.8377996483752177
0.6245694309999998,-0.3853159940341269
0.5024045411166665,-0.026356572017881302
0.38596423548666664,-0.5742219944698552
0.20850665549666667,-0.45208294002563093
0.5972278330666666,-0.6902141246457414
0.4961263055333333,-0.579479914951828
0.31290092066666664,-0.6574371117486585
0.2050934685,-1.0441476259367481
0.25524701637333336,-0.6612441688240093
1.079124879,-0.3890701900077718
0.5191726254333333,-0.567769461971253
0.4090486811466667,-0.7509318955615631
0.33846158830000006,-0.4143606623933722
0.28231814706666664,-0.8531185825144352
0.4016246171,-0.5970720215095049
0.3668284632533333,-0.37012108321925075
0.4217966687333334,-0.7327528181438487
0.8705838783393334,-0.4183918429155554
0.8531932250133333,-0.5429064453246286
0.33497237606333335,-0.39917301190738086
0.3599244873133333,-0.20778884884420962
0.8243699936333333,-0.1757146974022184
0.3006382121666667,-0.43060856425540067
0.6056987583333332,-0.7199020940994233
0.3290791740666667,-0.6904040249662452
0.3617551897699999,-1.0312258093362583
0.32526381806666665,-0.9674014336565466
0.19080016490666668,-0.9129832320318093
0.4970840707766666,-0.49056780684784396
0.5982046836333332,-0.8548357939372606
0.8736742466666668,-0.6816221798318097
0.3944789165333333,-0.39002964924711336
0.996439881133333,-0.36102772558214674
0.5922916756666666,-0.30238471168204184
0.5065546799333335,-0.1791594648137606
0.9505539641,-0.3230519222107752
0.19472866213333334,-0.6621003603520218
