TIME,FILTER_VALUE
-4.0,-0.033469844073095695
-3.9000000000000004,-0.02727100157289305
-3.8000000000000003,-0.022001828204742144
-3.7,-0.017321781262134385
-3.6,-0.014287306058921737
-3.5,-0.010969118559647472
-3.4000000000000004,-0.010316840730476515
-3.3000000000000003,-0.013234545954322696
-3.2,-0.016694271372163942
-3.1,-0.021188927624817982
-3.0,-0.025607842765830575
-2.9000000000000004,-0.027988596472112066
-2.8000000000000003,-0.029484427242723054
-2.7,-0.03076469918041191
-2.6,-0.0292320316674911
-2.5,-0.026705598003533948
-2.4000000000000004,-0.025091746581666408
-2.3000000000000003,-0.021615039396597882
-2.2,-0.016406293703518926
-2.1,-0.011162892929307812
-2.0,-0.005861400949252875
-1.9000000000000001,-0.00041541901950982766
-1.8,0.004932391506980754
-1.7000000000000002,0.00967482621272766
-1.6,0.015174440923542016
-1.5,0.019673516076191066
-1.4000000000000001,0.022994939997826556
-1.3,0.026515359636310708
-1.2000000000000002,0.03169127453689976
-1.1,0.039714458484063214
-1.0,0.04759392145855843
-0.9,0.05385463621008434
-0.8,0.06153708242686964
-0.7000000000000001,0.07014143284626874
-0.6000000000000001,0.07857349622350832
-0.5,0.08445438933827225
-0.4,0.08623221166464001
-0.30000000000000004,0.08205198178391401
-0.2,0.07076383474915637
-0.1,0.056500934069709366
0.0,0.04321134315431989
0.1,0.026715003264393213
0.2,0.013205032966723894
0.30000000000000004,0.0018079287420526284
0.4,-0.0055688034309380255
0.5,-0.009332376191604428
0.6000000000000001,-0.010650658078240524
0.7000000000000001,-0.012418984624750468
0.8,-0.015718921121936152
0.9,-0.021603383256771948
