TIME,FILTER_VALUE
-4.0,-0.0012393505257845539
-3.9000000000000004,-0.0022671664035944093
-3.8000000000000003,-0.004306474869508878
-3.7,-0.00879594642979944
-3.6,-0.010538634712121273
-3.5,-0.008446582549933032
-3.4000000000000004,-0.005013680069693791
-3.3000000000000003,-0.0055863135117907164
-3.2,-0.0060240833419125004
-3.1,-0.005208023982394135
-3.0,-0.004943381413402737
-2.9000000000000004,-0.0052014544538036694
-2.8000000000000003,-0.004072199915038591
-2.7,-0.0016080348758652646
-2.6,-0.0010808518099970133
-2.5,-0.0011322259835967307
-2.4000000000000004,-0.0033044368615066594
-2.3000000000000003,-0.004850592643805237
-2.2,-0.005169621705648547
-2.1,-0.003410789140062867
-2.0,-0.002458814183889136
-1.9000000000000001,-0.006746690897884982
-1.8,-0.00958358158473212
-1.7000000000000002,-0.013634687332478931
-1.6,-0.019418401804361947
-1.5,-0.02312051791020158
-1.4000000000000001,-0.027141410759394975
-1.3,-0.031616640329589996
-1.2000000000000002,-0.037519378723577905
-1.1,-0.045014095714069724
-1.0,-0.05164829569031637
-0.9,-0.05722367979746315
-0.8,-0.060378768713194614
-0.7000000000000001,-0.05839821436953204
-0.6000000000000001,-0.056033866564428075
-0.5,-0.054106476509426106
-0.4,-0.056193828704854676
-0.30000000000000004,-0.05201839370900954
-0.2,-0.04625901023726807
-0.1,-0.038475756295857554
0.0,-0.02691197351245702
0.1,-0.015673101101927423
0.2,-0.007636288546984549
0.30000000000000004,-0.001202517377515134
0.4,0.0005609187460646931
0.5,0.004269376699538966
0.6000000000000001,0.007253475828727878
0.7000000000000001,0.00968257626114956
0.8,0.011992274972871366
0.9,0.013899360139593971
