TIME,FILTER_VALUE
-4.0,0.009511734677195691
-3.9000000000000004,0.003025359231177701
-3.8000000000000003,-0.0028151017224776593
-3.7,-0.006308425312900807
-3.6,-0.006863775431210352
-3.5,-0.009298274249087454
-3.4000000000000004,-0.010967357149048024
-3.3000000000000003,-0.011320195852918885
-3.2,-0.010951196445776823
-3.1,-0.008380416339096603
-3.0,-0.007460939469066863
-2.9000000000000004,-0.008284104090366683
-2.8000000000000003,-0.00418755935669887
-2.7,-0.004559852394277762
-2.6,-0.007079734073423521
-2.5,-0.007580035356694354
-2.4000000000000004,-0.004167066382597047
-2.3000000000000003,-0.002760392569903935
-2.2,-0.0030822449388414963
-2.1,-0.002247903188723653
-2.0,-0.0022292421180510062
-1.9000000000000001,-0.00402351918111834
-1.8,-0.002168609990971123
-1.7000000000000002,-0.006504116860979034
-1.6,-0.008314214483286488
-1.5,-0.007820035327700514
-1.4000000000000001,-0.009621585681146171
-1.3,-0.00825708136311866
-1.2000000000000002,-0.0055252156402079075
-1.1,-0.006358287168998713
-1.0,-0.010470575901397482
-0.9,-0.011274895273712254
-0.8,-0.0074140556853166464
-0.7000000000000001,-0.004519625022752321
-0.6000000000000001,-0.0032778791630490144
-0.5,0.0013635519232723895
-0.4,0.003939054550277069
-0.30000000000000004,0.00718705572456371
-0.2,0.006990676911803248
-0.1,0.007799725630370282
0.0,0.005585797251345545
0.1,0.006080529592804768
0.2,0.007171965448248152
0.30000000000000004,0.011452307268771042
0.4,0.02042411196256399
0.5,0.027374178420967166
0.6000000000000001,0.02528574211267219
0.7000000000000001,0.029705318085180312
0.8,0.032208963085779196
0.9,0.039378045168404756
