UW_DISP,FOR_VEL
3.1690555039667503,0.4646523966530189
2.206087800621737,0.23110053167009315
1.6880421548073437,0.3363635244407752
1.8061100762585955,0.19502915825128553
4.257213852490042,0.5740424840850841
6.538229394483091,0.7637411611906696
4.373896937778638,0.4707769951069303
6.294917466469271,0.6507941234401976
3.3182817826354163,0.3619046134275674
5.409560327451445,0.614266337606487
4.55008107060708,0.4827111334491167
0.7920983742421305,0.0812398102989738
3.249169612747516,0.3595861804922073
3.3817722696824726,0.48816707744301935
3.5685326502866923,0.4083935957500431
2.733228576558093,0.31376446929899815
5.778742269633021,0.6493378438323405
2.231588026278749,0.23438625640803032
3.4285580750904785,0.39343256365461327
5.730753010250909,0.6455449755416386
2.866542238947495,0.33257190916209
3.708021090015091,0.6055034103042621
2.963984078297136,0.4817953905437357
6.846134077750202,0.7512336409464813
7.569348414134315,0.8315542272576804
4.561258776322485,0.5442276937019662
5.293698874463414,0.558208761047667
2.694293923336529,0.380966784505359
3.3120477325743787,0.36100224619117294
1.1445820694248112,0.14656182719733216
2.010085772680435,0.2180306558401785
1.9981137224353867,0.205356549943711
5.111163281186402,0.5792737402465754
1.3431628856993079,0.23235600390179542
1.840258596585338,0.3020028132915945
6.6144899730374,0.7478054715665943
2.53134374283648,0.48992035934027667
5.025906205689559,0.6362852302937835
6.378183243173936,0.7429505747590871
3.1863886000915564,0.5543365664760501
5.502500163071264,0.566719294805223
