Trial,Pulse,Start,Stop
20170821.Fly1.1,1,60,70
20170821.Fly1.1,2,120,130
20170821.Fly1.1,3,180,190
20170821.Fly1.1,4,240,250
20170822.Fly1.1,1,60,70
20170822.Fly1.1,2,120,130
20170822.Fly1.1,3,180,190
20170822.Fly1.1,4,240,250
20170826.Fly4.1,2,120,130
20170826.Fly4.1,3,180,190
20170826.Fly4.1,4,240,250
20170826.Fly7.2,2,120,130
20170828.Fly2.2,1,60,70
20170828.Fly2.2,4,240,250
20170828.Fly2.6,1,60,70
20170828.Fly2.6,2,120,130
20170828.Fly2.6,3,180,190
20170828.Fly2.6,4,240,250
20170828.Fly4.3,1,60,70
20170828.Fly4.3,3,180,190
20170828.Fly4.3,4,240,250
20180119.Fly10.1,1,60,70
20180119.Fly10.1,2,100,110
20180119.Fly10.1,3,140,150
20180119.Fly10.1,5,220,230
20180119.Fly7.2,1,60,70
20180119.Fly7.2,2,100,110
20180119.Fly7.2,3,140,150
20180119.Fly7.2,4,180,190
20180119.Fly9.2,1,60,70
20180119.Fly9.2,2,100,110
20180119.Fly9.2,5,220,230
20180120.Fly1.1,1,60,70
20180120.Fly1.1,3,140,150
20180120.Fly1.1,4,180,190
20180120.Fly1.1,5,220,230
20180120.Fly1.2,1,60,70
20180120.Fly1.2,3,140,150
20180120.Fly1.3,2,100,110
20180124.Fly4.2,1,60,70
20180124.Fly4.2,5,220,230
20180124.Fly4.3,1,60,70
20180125.Fly3.3,1,60,70
20180125.Fly3.3,2,100,110
20180125.Fly3.3,4,180,190
20180125.Fly3.4,3,140,150
20180125.Fly6.1,2,100,110
20180125.Fly6.1,4,180,190
20180125.Fly6.1,5,220,230
20180131.Fly1.2,1,60,70
20180131.Fly1.2,2,100,110
20180131.Fly1.2,3,140,150
20180131.Fly1.2,4,180,190
20180131.Fly1.3,1,60,70
20180131.Fly1.3,2,100,110
20180131.Fly1.3,3,140,150
20180131.Fly1.3,5,220,230
20180131.Fly4.2,1,60,70
20180131.Fly4.2,5,220,230
20180131.Fly4.3,3,140,150
20180131.Fly4.3,5,220,230
20180131.Fly7.2,3,140,150
20180131.Fly7.2,4,180,190
20180131.Fly7.2,5,220,230
20180131.Fly7.3,1,60,70
20180131.Fly7.3,2,100,110
20180131.Fly7.3,3,140,150
20180131.Fly7.3,5,220,230
20180131.Fly8.1,3,140,150
20180131.Fly8.2,1,60,70
20180131.Fly8.2,2,100,110
20180131.Fly8.2,3,140,150
20180131.Fly8.2,4,180,190
20180131.Fly8.3,1,60,70
20180131.Fly8.3,2,100,110
20180131.Fly8.3,4,180,190
20180131.Fly8.3,5,220,230
20180131.Fly8.4,1,60,70
20180131.Fly8.4,2,100,110
20180131.Fly8.4,3,140,150
20180131.Fly8.4,4,180,190
20180131.Fly8.4,5,220,230
20180131.Fly9.3,2,100,110
20180131.Fly9.3,3,140,150
20180131.Fly9.3,4,180,190
20180201.Fly3.2,2,100,110
20180201.Fly3.2,4,180,190
20180201.Fly3.2,5,220,230
20180201.Fly3.4,1,60,70
20180530.Fly1.1,1,60,70
20180530.Fly1.1,3,140,150
20180530.Fly1.1,5,220,230
20180530.Fly1.2,1,60,70
20180530.Fly1.2,2,100,110
20180530.Fly1.2,3,140,150
20180530.Fly1.2,4,180,190
20180530.Fly1.3,1,60,70
20180530.Fly1.3,3,140,150
20180530.Fly1.3,4,180,190
20180530.Fly1.3,5,220,230
20180530.Fly3.1,1,60,70
20180530.Fly3.1,2,100,110
20180530.Fly3.1,3,140,150
20180530.Fly3.1,4,180,190
20180530.Fly3.1,5,220,230
20180530.Fly5.1,4,180,190
20180530.Fly5.1,5,220,230
20180530.Fly5.2,1,60,70
20180530.Fly5.2,2,100,110
20180530.Fly5.2,3,140,150
20180530.Fly5.2,4,180,190
20180530.Fly5.2,5,220,230
20180530.Fly5.3,1,60,70
20180530.Fly5.3,2,100,110
20180530.Fly5.3,4,180,190
20180530.Fly5.3,5,220,230
20180531.Fly2.5,1,60,70
20180531.Fly2.5,2,100,110
20180531.Fly2.5,3,140,150
20180531.Fly3.3,1,60,70
20180531.Fly3.3,3,140,150
20180531.Fly3.3,5,220,230
20180604.Fly3.1,1,60,70
20180604.Fly3.1,2,100,110
20180604.Fly3.1,3,140,150
20180604.Fly3.1,5,220,230
20180604.Fly3.2,1,60,70
20180604.Fly3.2,3,140,150
20180604.Fly3.2,4,180,190
20180604.Fly3.2,5,220,230
20180604.Fly3.3,1,60,70
20180604.Fly3.3,4,180,190
20180604.Fly3.3,5,220,230
20180604.Fly3.4,1,60,70
20180604.Fly3.4,3,140,150
20180604.Fly3.4,4,180,190
20180604.Fly3.4,5,220,230
20180604.Fly8.2,1,60,70
20180604.Fly8.2,3,140,150
20180604.Fly8.3,1,60,70
20180604.Fly8.3,3,140,150
20180604.Fly8.3,4,180,190
20180604.Fly8.3,5,220,230
