T1,T2
3.05,3.45
13.867,14.167
22.017,22.383
26.7,26.933
27.55,27.867
29.25,29.583
39.033,39.217
47.133,47.5
48.65,48.95
58.467,58.683
59.367,59.633
60.733,61.15
70.967,71.317
75.9,76.333
86.833,87.167
94.267,94.75
102.52,102.83
109.6,110.03
111.82,112.2
113.17,113.5
115.2,115.48
122.75,123
123.77,124.15
131.68,132.05
133.58,133.98
134.85,135.2
149.7,150.17
154.32,154.75
157.12,157.47
165.65,165.93
171.78,172.13
174.35,174.8
178.8,179.23
195.3,195.7
206,206.43
216.33,216.78
229.6,229.93
244.4,244.72
249.43,249.8
252.22,252.7
258.67,259.1
261.83,262.22
264.15,264.58
269.75,270
270.78,271.23
276.93,277.22
294.85,295.25
