T1,T2
2.5833,3.0167
4.1333,4.4333
5.1833,5.5667
7.95,8.2333
11.4,11.6
15.367,15.65
20.817,21.2
27.217,27.533
32.45,32.667
38.933,39.267
61.15,61.367
68.983,69.4
71.35,71.533
72.617,72.85
74.983,75.3
111.23,111.55
116,116.23
117.72,117.98
120.33,120.57
121.37,121.7
122.42,122.65
134.1,134.4
135.13,135.58
140.22,140.5
146.75,147.05
150.27,150.6
153.3,153.6
155.3,155.72
189.5,189.83
208.75,209.02
210.32,210.75
216.75,217.22
222.43,222.62
224.37,224.57
226.02,226.25
244.93,245.37
247.15,247.42
248.02,248.42
251.15,251.38
252.22,252.42
253.55,253.93
255.38,255.63
257.58,258.07
259.37,259.8
264.38,264.62
268.87,269.18
272.87,273.12
274.88,275.25
277.45,277.83
280,280.33
282.35,282.65
284.95,285.27
287.9,288.32
289.87,290.2
292.75,293.13
