TIME,FILTER_VALUE
-4.0,-0.009945502138130509
-3.9000000000000004,-0.008227212959529629
-3.8000000000000003,-0.0006424357102830471
-3.7,-0.002289657124765281
-3.6,0.0016509706746619514
-3.5,0.007600407278818007
-3.4000000000000004,0.008843104410072564
-3.3000000000000003,0.006304418344862312
-3.2,0.0036565215798739933
-3.1,0.00376189579581474
-3.0,0.007133062930338274
-2.9000000000000004,0.003510711460139953
-2.8000000000000003,0.0022223839787081853
-2.7,0.0030460590481728297
-2.6,-0.0013011013737490942
-2.5,-0.005132881236822279
-2.4000000000000004,-0.009192260670573417
-2.3000000000000003,-0.01390116141354544
-2.2,-0.018613521702215433
-2.1,-0.01614843560741815
-2.0,-0.01188049771479846
-1.9000000000000001,-0.0101875132423558
-1.8,-0.002886159743908069
-1.7000000000000002,0.004691295754129171
-1.6,0.006141172228703461
-1.5,0.0054167249526099045
-1.4000000000000001,0.0031269189543326856
-1.3,0.0015057214767642177
-1.2000000000000002,-0.0011486056768074007
-1.1,-0.00953269637820722
-1.0,-0.015187240467368152
-0.9,-0.015018959085325257
-0.8,-0.018928444448646883
-0.7000000000000001,-0.023737812218694164
-0.6000000000000001,-0.03261619946713408
-0.5,-0.037316479579530396
-0.4,-0.03964925505007282
-0.30000000000000004,-0.03828652812048377
-0.2,-0.03276296808935496
-0.1,-0.0298669323145153
0.0,-0.02598980918424013
0.1,-0.017391437207094955
0.2,-0.0117047471443016
0.30000000000000004,-0.007677156951552137
0.4,-0.010572240381445755
0.5,-0.01222985152426436
0.6000000000000001,-0.016668758335903096
0.7000000000000001,-0.022988868834211435
0.8,-0.026027628674480986
0.9,-0.0343589517984796
