TIME,FILTER_VALUE
-4.0,0.004528660055787671
-3.9000000000000004,0.0024331418860364536
-3.8000000000000003,0.0009420069830824237
-3.7,0.002177675907450719
-3.6,0.0036686683227408613
-3.5,0.003755758409770725
-3.4000000000000004,0.002184645118379443
-3.3000000000000003,0.0012389607626331176
-3.2,0.0022803413558635517
-3.1,0.003627175189865987
-3.0,0.0029041966010932225
-2.9000000000000004,0.0013222214793873449
-2.8000000000000003,0.0007834450489651936
-2.7,0.0030155742509198427
-2.6,0.0060487340439025735
-2.5,0.00789129433201573
-2.4000000000000004,0.008102731387237978
-2.3000000000000003,0.007820411685434812
-2.2,0.007011708041142354
-2.1,0.00626107661157335
-2.0,0.006853088302908088
-1.9000000000000001,0.008057293788804673
-1.8,0.00871796185495109
-1.7000000000000002,0.009389658812773425
-1.6,0.010554647306969462
-1.5,0.010976017981238826
-1.4000000000000001,0.009702472504689509
-1.3,0.005865486389299557
-1.2000000000000002,0.0013715426903457737
-1.1,-0.0015065673518179134
-1.0,-0.003811394657872166
-0.9,-0.00368161176133758
-0.8,-0.001669649365152609
-0.7000000000000001,-0.0012608702091481537
-0.6000000000000001,-0.0005198093254714411
-0.5,-0.0009169901017139393
-0.4,-0.00036283043820202243
-0.30000000000000004,-0.0001876694169765843
-0.2,-0.0014468929323190021
-0.1,-0.006497528667346106
0.0,-0.01321402606492805
0.1,-0.01819979640555009
0.2,-0.021251059338624187
0.30000000000000004,-0.022945259388687474
0.4,-0.02385768325387911
0.5,-0.026522381923209305
0.6000000000000001,-0.029218880317432843
0.7000000000000001,-0.030761994437881093
0.8,-0.03374810404651751
0.9,-0.04094807646013533
