TIME,FILTER_VALUE
-4.0,-0.038391340100229376
-3.9000000000000004,-0.031058795862104246
-3.8000000000000003,-0.025380572794233534
-3.7,-0.020909129470127685
-3.6,-0.01631129535890236
-3.5,-0.013628411936119304
-3.4000000000000004,-0.013050171818890975
-3.3000000000000003,-0.013334254610798362
-3.2,-0.014060398927847724
-3.1,-0.014682433750530147
-3.0,-0.017002897641317617
-2.9000000000000004,-0.0179254888284642
-2.8000000000000003,-0.01644278291352377
-2.7,-0.013646629990689298
-2.6,-0.01043092275293175
-2.5,-0.0077993858377372475
-2.4000000000000004,-0.004992271093671831
-2.3000000000000003,-0.0006158455093116398
-2.2,0.0034941451168117674
-2.1,0.005282926782278043
-2.0,0.006790665506739993
-1.9000000000000001,0.009721031146327472
-1.8,0.0145341337603222
-1.7000000000000002,0.022568905340009902
-1.6,0.030276056237835008
-1.5,0.04027388518243974
-1.4000000000000001,0.048349485525623855
-1.3,0.05547071239974187
-1.2000000000000002,0.06077188434184279
-1.1,0.06501092187973609
-1.0,0.06942000121698616
-0.9,0.0724735159106179
-0.8,0.07470694040635832
-0.7000000000000001,0.07507163422373864
-0.6000000000000001,0.07346429775053737
-0.5,0.07066984695863697
-0.4,0.0660745312116615
-0.30000000000000004,0.0592822909454094
-0.2,0.05225298811537435
-0.1,0.046207960537122825
0.0,0.04251743940346963
0.1,0.04053871539125962
0.2,0.03892197842812568
0.30000000000000004,0.03610756192011658
0.4,0.03299962784343923
0.5,0.029547182702979267
0.6000000000000001,0.025693200670332574
0.7000000000000001,0.021743236724442686
0.8,0.018219910603766296
0.9,0.016581115230561518
