ABS_HEADING,G5
0.8011409573333335,-0.21313556148730842
0.19344975511999998,-0.2199352204236589
0.7608663467333333,-0.23305885099843712
0.4452223548,-0.25614848132570445
0.6245694309999998,-0.14884975418994464
0.5024045411166665,0.020234154421097317
0.38596423548666664,-0.1332009079970167
0.20850665549666667,-0.08169361165089682
0.5972278330666666,-0.20750929376047103
0.4961263055333333,-0.24410328030800899
0.31290092066666664,-0.16097824412706543
0.2050934685,-0.28992932086000744
0.25524701637333336,-0.13536684941897134
1.079124879,-0.31967965613999483
0.5191726254333333,-0.14653089264792327
0.4090486811466667,-0.23297683642991196
0.33846158830000006,-0.08710065385891048
0.28231814706666664,-0.2425138352204682
0.4016246171,-0.12308939679155202
0.3668284632533333,-0.04225324902223012
0.4217966687333334,-0.23956485597571947
0.8705838783393334,-0.22359586369991838
0.8531932250133333,-0.21267767318263106
0.33497237606333335,-0.0709126162583659
0.3599244873133333,0.03520807074751906
0.8243699936333333,-0.09066674822693317
0.3006382121666667,-0.07200742960339611
0.6056987583333332,-0.2716947988931355
0.3290791740666667,-0.18469948999121957
0.3617551897699999,-0.3381209330395251
0.32526381806666665,-0.3326671494031651
0.19080016490666668,-0.2364239807901084
0.4970840707766666,-0.12045444333747812
0.5982046836333332,-0.2973209281710319
0.8736742466666668,-0.3089820744124536
0.3944789165333333,-0.09781639863009177
0.996439881133333,-0.239957920803034
0.5922916756666666,-0.086557386513846
0.5065546799333335,-0.049914415679559086
0.9505539641,-0.19104683480749346
0.19472866213333334,-0.14111285475057378
