TIME,FILTER_VALUE
-4.0,-0.06681363080116459
-3.9000000000000004,-0.04541728855272423
-3.8000000000000003,-0.03852464801503117
-3.7,-0.037827508370992045
-3.6,-0.030550393263230252
-3.5,-0.019302092940547147
-3.4000000000000004,-0.017844959284827093
-3.3000000000000003,-0.014123296809397346
-3.2,-0.02272267729572776
-3.1,-0.022879551800856233
-3.0,-0.01848546870451168
-2.9000000000000004,-0.006420603187664699
-2.8000000000000003,-0.005608236302346049
-2.7,-0.009419589682610013
-2.6,-0.007904335496366396
-2.5,-0.014392735088261503
-2.4000000000000004,-0.012510475833802239
-2.3000000000000003,-0.012135163810336063
-2.2,-0.021132326216534852
-2.1,-0.02375311850790625
-2.0,-0.013456939230326917
-1.9000000000000001,-0.009924131066553423
-1.8,-0.001589206659495048
-1.7000000000000002,-0.0010578471958725753
-1.6,-0.00011297216583767851
-1.5,0.005712653716108303
-1.4000000000000001,0.011764881679807751
-1.3,0.016021527074237502
-1.2000000000000002,0.0209238252333435
-1.1,0.02940949114860072
-1.0,0.03915769767750442
-0.9,0.0546349658251664
-0.8,0.058404548549976634
-0.7000000000000001,0.06533674244179685
-0.6000000000000001,0.06864067019875952
-0.5,0.06773503718999384
-0.4,0.05085318033142227
-0.30000000000000004,0.03293079384157092
-0.2,0.012594385364351424
-0.1,-0.00174661139010951
0.0,0.006704681325841655
0.1,0.01998800088009282
0.2,0.025371722965664027
0.30000000000000004,0.021260469880772924
0.4,0.017821084302511458
0.5,0.013642751483748144
0.6000000000000001,0.013012244736727146
0.7000000000000001,0.012368095433448807
0.8,0.016168061418960357
0.9,0.023515714501580322
