FOR_VEL,G4
0.6430765271746488,1.0663467039326888
0.20604703869203714,0.07094562220512651
0.695213269725634,1.069547787408057
0.4549968037358761,0.526550618161326
0.779278404485865,1.2059250792046141
0.9945026034842952,1.4797397251648983
0.7191821489567575,1.122463306441527
0.8690974351987056,1.4437870528351784
0.14798722884954582,0.219269315471375
0.8078333746635671,1.2036846233340501
0.5541880097405454,0.9083580109442024
0.059934458062428454,-0.18558896358974955
0.44663112585007503,0.6660909825066761
0.24854057843955055,0.3896615933467502
0.34732670452760367,0.46992932545449523
0.1643086157628863,-0.05727904178026421
0.6468705066245996,0.872983862021668
0.4348337198599509,0.6487678118608138
0.47404091261395803,0.8240859276850108
0.9153260816671461,1.3486801466617901
0.7095447773780793,1.1391092696857386
0.9680130216073455,1.5959112750661926
0.759081222362783,1.127717892634977
0.6613229708600131,0.9733497833619047
0.7082323007559209,0.9017031134606763
0.6176123973616604,0.7615842109298753
0.2433190612554691,0.6483425214210989
0.7301937227482369,1.3595192915697405
0.6144518781086282,0.8974061250147098
0.46175927861905086,0.8502472427649759
0.5881048245508225,0.8362379936298017
0.48635496644527293,0.782200586700098
0.4241627041919461,0.940372048185604
0.26726138881694683,0.21591176514928892
0.21050462198785896,0.2670433732849116
0.7381384751256921,1.4396458353881547
0.7005826578780145,1.07320823227365
0.6988143897672506,1.1358245472896884
1.074951919163753,1.8347010031205602
0.8483147246169978,1.2234711946143861
0.9267555558295425,1.4770454992927073
