FOR_VEL,G3
0.7109166008529887,0.05227855476210321
0.37883221354239227,0.04908111661316205
0.480557570245707,-0.17430652318367343
0.2865815883745606,-0.040581681520375466
0.7242224833330781,0.1779113060455717
0.8696950322804652,0.14606175712383626
0.0860493511552443,-0.0674030350301047
0.10973855640519714,-0.08790319262025648
0.19878151389587026,-0.13630830601459187
0.12534847374310368,-0.03917224112299755
0.10231178894641729,-0.09663488060297633
0.09762196967215826,0.025208175526587082
0.05200952052085567,-0.16606639280984217
0.10373084142793361,-0.14503497420721828
0.057459637010155926,-0.08831582002249927
0.11721718270093674,-0.22213198661647496
0.07607991068167827,-0.017163166964057206
0.0929788946218885,0.0593091072806714
0.049011821147319674,-0.08049374893739489
0.16163995733520303,0.008970781855227474
0.26433795840126767,-0.06799033807087061
0.23657273142059357,-0.1403796769821192
0.14398028635442894,0.00048264102718472877
0.12768801518657166,-0.012548605322775507
0.14422925656081673,-0.06789881789508478
0.07575284760587563,-0.028708508339358323
0.04887851986721351,-0.165141563024507
0.10817829336695733,-0.15084607136224243
0.06747696581600938,-0.2059218572692875
0.05737313840467866,-0.2287312442608993
-0.00016533732492798382,-0.16256282140102937
0.001513542576613426,-0.16540844952645822
-0.03400533064809878,0.02282141923488419
-0.03586244263064821,-0.172437654545461
-0.021979503039634373,-0.055357660776632886
0.011835205971368563,0.13687306807228303
-0.00692626020951886,0.04648212324581851
-0.007962084925445397,-0.1424779394294224
-0.003031322075288459,-0.00021432118850204748
0.27439347573415,-0.0963404954315174
0.22260208814519156,-0.09485663895399239
0.508879938758452,-0.0384822636873575
0.42142771327836104,0.14646543917682217
0.027578836779973703,-0.1646305983384405
-0.1593678738636039,-0.16695222922359856
-0.0719586910093002,0.11903420620848087
-0.003638385810152554,0.12263917619212758
0.0006462826068114344,0.13664176321413582
0.003214019555004616,0.09227990873290742
0.059707634739025954,-0.15985041070640296
0.08476567563551372,-0.1534515279652705
0.07256452197561723,-0.012317490557019806
0.011723707164333045,0.17384852942995363
0.025919699015367906,0.10593536861323746
0.009028184303827453,-0.16503771795309347
-0.004800637387517886,0.06351712089735359
0.05890050139460189,-0.21286455280013605
0.09701270308993802,0.1377780805780881
-0.029994984927735172,-0.10263872401903468
-0.12383857929237148,-0.06834798808380949
