FOR_VEL,G3
0.4646523966530189,-0.04994004669752636
0.23110053167009315,-0.12649066554608696
0.3363635244407752,0.04440542858530596
0.19502915825128553,-0.06672727615433283
0.5740424840850841,0.010122767701728945
0.7637411611906696,0.22664806233279042
0.4707769951069303,-0.00439276885832823
0.6507941234401976,0.027901475613626416
0.3619046134275674,-0.09224329010338875
0.614266337606487,-0.10152092590871192
0.4827111334491167,-0.06870355301720764
0.0812398102989738,-0.1871787577460572
0.3595861804922073,-0.03551308890258726
0.48816707744301935,-0.08561136371040597
0.4083935957500431,-0.01425174793666358
0.31376446929899815,-0.11055939200544092
0.6493378438323405,0.028167575433226337
0.23438625640803032,-0.11951181725555728
0.39343256365461327,-0.0037494490328287243
0.6455449755416386,0.07344979469510754
0.33257190916209,-0.11012655264836203
0.6055034103042621,-0.041304377520454294
0.4817953905437357,-0.03882023591252082
0.7512336409464813,0.03541409897941511
0.8315542272576804,0.1290971990163466
0.5442276937019662,0.28918270643894095
0.558208761047667,0.05855329015399031
0.380966784505359,-0.18617167279939298
0.36100224619117294,-0.06939003472114331
0.14656182719733216,-0.2326080227626552
0.2180306558401785,-0.2078379188582866
0.205356549943711,-0.07096748428597965
0.5792737402465754,-0.014218628069575084
0.23235600390179542,-0.09012447011122347
0.3020028132915945,-0.0977964354216792
0.7478054715665943,-0.013191934703790544
0.48992035934027667,-0.004055144900375797
0.6362852302937835,0.026276216262829392
0.7429505747590871,0.12807693896313926
0.5543365664760501,-0.028226920057706942
0.566719294805223,-0.0781369800645178
