TIME,FILTER_VALUE
-4.0,-0.045373263566547146
-3.9000000000000004,-0.03812082893708483
-3.8000000000000003,-0.033790519039243676
-3.7,-0.03158888649491366
-3.6,-0.031690960469109825
-3.5,-0.03071385908983979
-3.4000000000000004,-0.02959374884317291
-3.3000000000000003,-0.027422477239872085
-3.2,-0.023332174537810467
-3.1,-0.020821274624914718
-3.0,-0.019568298741343804
-2.9000000000000004,-0.018639769766020758
-2.8000000000000003,-0.01570930950881854
-2.7,-0.014814036867790951
-2.6,-0.013594512338398356
-2.5,-0.013608314015525301
-2.4000000000000004,-0.014829034978626603
-2.3000000000000003,-0.016481927076744868
-2.2,-0.01838686982609741
-2.1,-0.02062115722068065
-2.0,-0.01753344171493592
-1.9000000000000001,-0.010067838732560327
-1.8,-0.004425555194504359
-1.7000000000000002,-0.0015124969780573039
-1.6,0.005368837535011962
-1.5,0.012455559163776815
-1.4000000000000001,0.017866157427385836
-1.3,0.02298423143080162
-1.2000000000000002,0.028327596794185117
-1.1,0.036184271921239394
-1.0,0.04269565654952737
-0.9,0.04876674846247994
-0.8,0.053581347327109397
-0.7000000000000001,0.059981309603339826
-0.6000000000000001,0.06786831355001126
-0.5,0.07171022023452268
-0.4,0.07128803279677674
-0.30000000000000004,0.06850595082913641
-0.2,0.06250667341790216
-0.1,0.054189469927461986
0.0,0.04094702348594194
0.1,0.026725443327051974
0.2,0.01627342045178152
0.30000000000000004,0.007587472797806386
0.4,0.002341207645483843
0.5,-0.002159297769457202
0.6000000000000001,-0.00646976386288483
0.7000000000000001,-0.010654700629533897
0.8,-0.012316006888858037
0.9,-0.016101969964787036
