Stop,Start
3.7333,4.5333
6.3667,8.0167
16.067,18.933
19.933,23.75
25.367,26
27.083,28.7
31.6,32.633
39.133,41.6
46.167,46.85
49.483,50.05
50.417,52.617
57.617,58.4
58.517,59.75
61.9,63.067
66.35,66.917
67.083,69.2
71.983,73.617
79.683,82.183
84.233,84.767
87.083,90.783
92.55,93.617
96.417,98.017
98.05,98.683
98.717,100.07
101.23,102.57
104.83,106.38
112.9,113.38
115.3,115.85
126.92,129.27
129.3,129.83
139.02,141.2
141.27,142.07
144.87,145.72
147.88,149.05
149.13,151.47
155.6,156.38
156.42,159.88
160.85,161.53
161.57,162.18
164.52,165.2
174.1,174.72
174.98,175.68
176.02,178.68
186.62,189.42
191.98,193
195.62,196.25
200.48,201.72
209.8,211.82
213.37,214.62
238,238.88
241.38,245.43
249.88,251.08
254.73,257.97
261.28,263.57
265.38,265.92
269.13,274.32
276.93,277.47
278.57,279.43
282.45,285.53
295.58,296.77
299.85,301.92
