Start,Stop
12.767,12.8
15.15,16.917
21.467,22.183
24.6,24.633
29.567,29.683
30.2,30.25
32.317,32.367
34.417,34.9
37.433,37.467
38.6,38.717
43.183,43.4
47,47.683
50.35,50.517
52.633,52.667
56.017,56.617
58.3,59.633
61.967,63.35
67.083,67.633
68.133,70.333
72.767,73.183
74.65,74.683
75.65,75.683
76.55,77.25
78.983,80.283
82.217,82.35
85.983,86.633
87.65,88.283
89.15,90.95
91.433,92.933
93.45,94.117
94.633,95.05
96.483,96.517
98.217,98.467
100.28,100.75
102.18,102.65
103.73,103.77
105.12,106.3
107.63,107.77
114.5,114.67
121.13,121.22
121.72,121.78
122.83,123.72
128.63,129.7
130.85,132.87
133.78,134.33
139.4,139.47
140.08,140.65
144.6,147.07
148.82,149.37
150.15,150.53
151.27,151.3
153.42,153.82
154.4,155.48
164.27,165.08
165.82,166.15
169.52,170.8
172.32,172.65
173.23,173.27
173.75,173.83
174.65,175.25
178.75,180.72
181.4,182.62
183.52,183.57
184.15,184.28
185.05,187.1
187.73,188.62
189.17,189.48
190.08,193.53
194.08,194.47
195.13,195.8
196.33,197.28
198.52,199.07
199.58,205.25
205.78,207.28
208.97,209.2
209.95,212.58
213.73,214.48
215.03,218.47
219,223.22
223.87,227.38
228.67,232.87
233.35,235.82
238.57,240.25
241.18,241.7
242.22,248.35
249.15,252.7
253.4,257.25
257.92,259.97
260.5,272.13
272.68,275.52
276,290.15
290.78,300
