Stop,Start
7.8,8.4667
18.983,19.6
21.75,24.667
27.117,27.6
27.85,29.117
31.417,32.217
32.45,33.283
33.667,36.55
37.817,38.417
39.15,39.633
41.7,43.117
43.517,44
74.683,75.3
76.567,78.65
83.983,84.5
85.4,86.6
88.883,89.683
90.25,91.267
94.85,95.333
97.683,100.75
101.22,104.97
106.93,107.97
108.67,111
111.03,112.1
120.32,121.62
123.47,124.27
124.6,125.5
129.85,130.42
130.77,131.95
135.25,136.63
136.67,137.33
141.67,143.15
145.05,145.68
148.12,148.75
149.67,150.15
150.7,152.25
154.27,154.83
158.03,161.05
161.35,161.98
162.02,164.85
167.83,168.42
171.48,172.05
173.95,174.82
178.83,180.73
185.05,186.15
193.17,193.72
194.05,194.67
196.1,196.82
197.38,198.07
208.23,209.35
210.57,211.05
213.08,214.38
220.17,221.02
222.12,223.27
225.08,226.15
227.88,228.65
230.3,231.38
231.65,233.13
233.65,234.6
241,241.82
245.78,246.38
246.5,247.18
248.18,249.42
255.67,256.72
258.02,259.38
261.67,262.8
263.32,265.82
272.87,274
289.37,290.17
291.27,291.97
292.25,292.9
294.72,295.22
295.57,296.08
301.02,301.75
