Stop,Start
0.5,1.0667
1.1167,5.2667
10.4,12.05
12.083,13.367
13.417,14.533
20.517,25.7
33.817,36.483
44.367,45.683
45.717,46.233
48.167,48.883
50.933,53.917
53.95,55.6
66.7,67.667
67.733,68.483
69.383,69.9
69.95,70.467
86.7,87.217
89.367,89.917
96.933,98.317
98.35,100.27
115.62,116.33
133.07,133.58
134.92,136.63
143.92,145.12
145.15,147.65
158.48,159
162.98,165.88
178.6,179.2
179.23,179.93
180.73,181.23
201.33,201.95
202.25,204.12
225.85,226.35
231.5,234.7
247.47,251.25
265.57,268.23
268.32,269.17
293.05,296.58
