T1,T2
32.05,32.517
43.667,43.95
46.733,47.1
50.667,50.983
52.733,52.967
58.533,58.9
63.65,63.967
75.367,75.683
81.533,81.883
94.117,94.35
101.6,101.93
108.17,108.4
114.58,114.87
118.28,118.42
133.53,133.93
138.62,138.85
182.92,183.38
187.45,187.67
189.2,189.57
190.87,191.32
199.47,199.95
200.42,200.77
206.42,206.67
207.48,207.83
213.48,213.87
224.07,224.3
229.23,229.63
235.13,235.53
249.05,249.27
253.68,253.88
255.28,255.42
269.78,270.25
271.03,271.22
273.93,274.1
281.75,282.22
285.82,285.98
289.75,290.1
294.22,294.38
296.97,297.3
