T1,T2
3.65,6.35
7.5,11.633
12.133,12.983
14.2,15.65
19.967,29.067
29.633,32.333
35.917,40.783
42.033,50.05
51.033,52.767
56.633,62.517
63.083,65.35
67.133,71.617
73.95,77.833
81.867,86.583
87.333,88.8
89.467,93.417
94.067,94.167
95.283,98.083
102.02,111.97
112.45,115.03
118.73,122.88
123.4,124.97
125.62,136.48
140.12,143.95
145.05,151.42
152.85,158.65
159.15,160.98
162.27,162.38
162.97,166.42
171.1,176.52
177.33,179.32
180.45,181.5
182.15,185.78
186.75,186.78
190.07,193.33
194.23,196.28
197,202.8
204.83,207.05
207.72,209.87
210.53,211.73
212.92,214.55
218.28,222.33
223.1,227.38
228.03,230.6
231.2,233.03
233.63,235.92
236.52,237.77
238.28,242.23
242.72,252.9
256.73,270.43
271.05,272.45
273.47,275.97
276.77,278.28
278.93,281.07
282.3,284.73
285.75,289.82
290.95,295
