T1,T2
9.4333,12.917
13.533,18.817
19.6,24.333
28.583,36.6
37.15,41.6
46.583,58.017
61.4,71.483
71.983,78.817
82.617,88.283
89.917,95.65
96.45,98.4
99.067,100.07
103.13,111.1
112.13,115.38
118.35,125.47
125.95,129.7
133.43,139.47
142.93,147.07
147.68,149.12
149.68,154.62
155.12,155.15
158.67,167.87
168.62,176.53
177.47,177.5
179.78,186.8
191.12,195.03
195.55,200.15
200.77,203.42
204.38,210.63
213.95,220.85
225.33,232.37
238.13,242.75
243.38,245.17
246.12,249.23
253.4,259.8
260.6,263.53
268.12,275.72
276.43,276.47
279.68,287.78
288.82,288.85
289.33,289.52
290.83,294.97
295.87,298.57
