T1,T2
1.8833,5.6667
11.133,15.133
19,22.333
27.05,30.967
31.733,34.583
37.4,39.35
47.5,51.633
55.45,60.517
68.35,71.4
75.05,79
79.033,83.317
95.75,107.75
107.78,109.63
116.67,120.27
122.45,124.2
127.43,129.08
131.3,133.55
137.32,139.25
141.83,146.1
150.2,153.73
153.77,156.03
158.92,161.75
161.78,164.02
166.85,171.63
174.72,180.92
184.88,192.02
195.23,196.87
198.42,200.1
200.13,202.17
204.97,207.98
215.87,218.52
228.75,237.82
246.27,250.45
258.77,261.83
268.15,271.05
273.15,274.87
281.07,283.5
291.1,293.25
