T1,T2
2.1167,2.6
4.45,6.3
16.583,17.333
19.15,20.767
25.483,26.583
41.45,44.267
48.15,48.783
48.95,49.75
64.117,64.95
114.95,115.97
117.65,119.25
126.58,127.48
145.03,145.55
158.8,159.42
161.42,161.92
175.67,176.17
190.72,191.23
191.27,191.77
198.2,199.87
208.93,211.23
213.62,214.3
223.87,225.08
226.22,227.27
231.65,232.47
234.3,235.4
235.43,236
240.27,241.92
246.95,247.77
248.12,248.75
253.9,254.93
257.25,257.75
259.2,262.28
263.3,266.55
266.97,267.57
268.62,269.62
270.22,270.7
278.6,279.48
280.93,281.9
289.78,290.3
