T1,T2
0,14.717
15.233,19.983
20.717,24.4
25.183,26.783
27.333,35.867
36.567,40.333
41.217,48.3
48.967,57.283
58.317,62.85
63.467,64.6
66.967,74.633
75.133,79.517
80.167,93.85
94.5,96.267
96.967,115.82
116.32,121.07
121.8,123.8
124.5,129.18
129.75,134.02
134.67,136.7
137.42,141.38
141.93,148.33
148.85,161.18
161.72,170.23
171.13,177.5
178.07,180.35
180.88,186.82
187.3,195.13
195.68,199.83
200.6,209.08
209.65,215.68
216.18,218.5
219.02,221.28
221.93,224.18
224.98,236.78
237.37,242.37
242.93,246.73
247.25,250.37
250.85,257.58
258.13,266.3
266.85,270.9
271.67,279.57
280.9,281.52
282.03,284.97
285.58,286.82
287.42,291.2
291.73,293.57
294.07,299.88
