T1,T2
0,7.7001
8.2502,14.234
14.834,15.617
16.184,20
20.717,21.35
22,23.167
23.784,23.817
24.534,37.101
38.034,43.084
44.251,44.818
45.334,45.901
46.418,52.718
53.551,55.984
56.634,65.285
65.885,66.618
67.118,70.501
71.085,82.952
83.535,91.952
92.652,94.452
95.268,121.64
122.47,139.69
140.25,149.5
150.25,174.15
174.7,180.92
181.5,182.85
184.02,189.79
190.54,199.07
200.35,201.37
201.92,206.07
206.65,211.39
212.07,215.37
216.35,218.9
219.4,221.65
222.22,235.37
236.02,255.84
256.45,261.74
262.22,263.62
264.1,281.11
281.66,287.61
288.36,290.12
290.66,291.62
292.16,298.29
