T1,T2
2.7833,4.7333
7.2833,9.4333
10.85,11.317
13.35,14.7
21.433,26
26.583,28.467
29.117,29.617
30.133,30.967
31.983,32.95
36.35,40.133
45.533,49.767
50.717,53.117
53.95,53.983
54.717,56.067
59.033,59.867
64.65,70.333
73.633,77.767
78.467,78.5
79.467,87.35
88.017,114.28
115.33,124.55
128.75,137.85
139.22,146.58
147.62,148.27
151.68,157.42
161.1,174.5
179.97,180.13
181.8,186.13
186.7,197.68
202.05,202.08
202.62,202.78
203.32,203.35
204.18,204.42
206.45,207.48
213.1,219.37
220.02,220.63
224.4,226.18
227.63,227.67
229.52,230.03
232.43,236.93
238.35,239.68
243.42,243.45
245.25,246.72
250.45,252
253.1,253.47
258.38,260.5
264.88,268.32
270.55,275.9
277.22,277.98
279.02,279.42
282.03,282.73
286.65,290.08
290.97,294.1
296.78,299.87
