Stop,Start
5.1998,6.1164
6.1497,7.9996
11.166,12.983
14.916,17.766
24.966,26.049
26.082,27.515
28.332,28.932
32.365,36.298
42.981,44.181
48.681,49.331
49.364,50.481
51.314,52.781
63.797,65.264
73.297,73.98
75.847,76.763
79.496,80.113
80.846,82.996
86.279,86.913
89.579,90.246
95.279,96.079
100.63,101.13
101.9,102.43
104.25,104.98
107,107.55
110.48,111.06
120.61,121.59
121.99,124.26
125.46,125.94
129.46,130.09
138.01,139.13
142.44,143.44
145.91,146.59
147.99,148.91
148.94,149.56
155.18,155.98
156.79,157.43
158.76,159.68
170.76,171.46
172.93,173.69
175.91,176.63
182.96,183.47
185.29,186.14
187.29,188.66
190.22,190.76
192.51,193.66
194.36,195.24
205.91,206.46
209.22,210.21
211.11,211.69
214.77,218.11
238.56,239.26
242.19,243.51
244.74,245.34
246.09,246.74
254.87,255.44
255.92,257.04
264.85,265.92
274.94,275.9
279.25,279.82
283.3,284.15
289.62,290.6
292.77,293.45
299.02,299.69
302.75,303.3
