T1,T2
3.5667,3.9667
6.2667,6.5167
13.35,13.683
20.233,20.583
23.117,23.6
26,26.417
29.45,29.867
32.583,32.867
36.4,36.7
38.483,38.783
44.75,45.117
48.15,48.567
50.817,51.167
52.567,52.767
53.75,53.917
68.467,68.717
69.883,70.117
77.033,77.517
80.183,80.6
82.667,83
95.083,95.567
97.567,97.817
102.5,102.8
106.18,106.52
116.53,116.93
126.95,127.28
139.85,140.28
147.63,148.12
153.72,154.08
167.55,167.83
174.02,174.4
179.83,180.15
192.55,192.97
202.87,203.18
203.98,204.33
206.35,206.77
208.97,209.35
211.4,211.75
212.7,212.92
213.85,214.23
215.37,215.77
228.88,229.3
232.08,232.57
236.12,236.53
238.95,239.32
244.22,244.65
257.12,257.43
264.53,264.87
265.97,266.3
281.58,281.87
288.17,288.6
292,292.2
293.23,293.48
